,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Nick Lodolo,27.1,2.000,17602024,,760000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Alexis Díaz,28.5,2.000,17602024,,760000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Sam Moll,33.2,2.075,17602024,,760000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Tony Santillan,27.9,2.020,"1 yr, TBD (2024)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,TJ Friedl,29.6,1.112,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Graham Ashcraft,27.1,1.136,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Spencer Steer,27.3,1.035,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Will Benson,26.8,1.042,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Fernando Cruz,35.0,1.035,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Christian Encarnacion-Strand,25.3,0.077,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Matt McLain,25.6,0.140,174252024,,742500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
11,Elly De La Cruz,23.2,0.118,174252024,,742500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Estimated salaries for other pre-arbitration players,3700000,,,,,,,,,,
