,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Frankie Montas,32.0,5.015,1752023,,7500000,FREE AGENT,,,,,
1,Isiah Kiner-Falefa,30.0,5.000,162023,,6000000,FREE AGENT,,,,,
2,Wandy Peralta,33.7,5.168,13352023,,3350000,FREE AGENT,,,,,
3,Keynan Middleton,31.5,5.023,112023,,1000000,FREE AGENT,,,,,
4,Gleyber Torres,28.3,4.162,19952023,,9950000,ARB 3,FREE AGENT,,,,
5,Lou Trivino,33.5,4.163,1412023,,4100000,ARB 3,FREE AGENT,,,,
6,Clay Holmes,32.0,4.031,1332023,,3300000,ARB 3,FREE AGENT,,,,
7,Domingo Germán,32.6,4.017,1262023,,2600000,ARB 3,FREE AGENT,,,,
8,Jonathan Loáisiga,30.4,4.022,122632023,,2262500,ARB 3,FREE AGENT,,,,
9,Kyle Higashioka,34.9,4.005,114632023,,1462500,ARB 3,FREE AGENT,,,,
10,Nestor Cortes,30.3,3.094,1322023,,3200000,ARB 2,ARB 3,FREE AGENT,,,
11,Jose Trevino,32.3,3.063,12362023,,2360000,ARB 2,ARB 3,FREE AGENT,,,
12,Michael King,29.8,3.004,1132023,,1300000,ARB 2,ARB 3,FREE AGENT,,,
