,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Aaron Judge,32.9,8.051,9360202331,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000
1,Gerrit Cole,34.5,11.111,9324202028,36000000,36000000,36000000,36000000,36000000,FREE AGENT,,
2,Max Fried,31.2,6.148,8218202532,27250000,14500000,14500000,31500000,31500000,31500000,31500000,31500000
3,Carlos Rodón,32.3,9.168,6162202328,27000000,27833333,27833333,27833333,27833333,FREE AGENT,,
4,Cody Bellinger,29.7,7.160,3802024252026,26250000,27500000,25000000,,,,,
5,Giancarlo Stanton,35.4,14.118,133252015272028,25000000,32000000,29000000,25000000,25000000,,,
6,Marcus Stroman,33.9,10.026,23720242520261402025,18500000,18500000,18000000,,,,,
7,DJ LeMahieu,36.7,12.128,690202126,15000000,15000000,15000000,FREE AGENT,,,,
8,Paul Goldschmidt,37.5,13.059,11252025,12500000,12500000,FREE AGENT,,,,,
9,Jonathan Loáisiga,30.4,6.022,1520252026,5000000,5000000,5000000,,,,,
10,Tim Hill,35.1,6.112,128520252026,2850000,2500000,3000000,,,,,
11,Luke Weaver,31.6,7.112,245202425,2500000,2500000,FREE AGENT,,,,,
12,Ryan Yarbrough,33.2,6.117,122025,2000000,2000000,FREE AGENT,,,,,
13,Carlos Carrasco,38.0,13.147,1152025,1500000,1500000,FREE AGENT,,,,,
