,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Jimmy Cordero,33.4,2.136,17202023,,720000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Scott Effross,31.2,1.037,174282023,,742750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Clarke Schmidt,29.1,1.148,174052023,,740475,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Albert Abreu,29.5,1.118,173872023,,738700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Ian Hamilton,29.8,0.126,17502023,,750000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Oswaldo Cabrera,26.1,0.050,174212023,,742100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Ron Marinaccio,29.7,0.154,173992023,,739900,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Luis Gil,26.8,0.073,173242023,,732400,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Anthony Volpe,23.9,,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,720000,,,,,,,,,,
