Ranking,Team,2008/09,2008/09(*)
1.,New York,96643646,138761126
2.,Dallas,95045559,136466588
3.,Cleveland,91298233,131086171
4.,Portland,80260059,115237541
5.,Boston,79188973,113699674
6.,LA Lakers,78245793,112345455
7.,Phoenix,76130408,109308179
8.,Toronto,73446970,105455296
9.,Houston,73302272,105247535
10.,Detroit,71434174,102565318
11.,Milwaukee,71360656,102459760
12.,Washington,70743317,101573383
13.,Miami,70297059,100932646
14.,Denver,70121003,100679866
15.,Orlando,69672979,100036590
16.,Indiana,69668818,100030616
17.,Sacramento,69204512,99363963
18.,Oklahoma City,68341605,98125000
19.,Philadelphia,68301007,98066709
20.,Atlanta,68168841,97876948
21.,Chicago,68126774,97816546
22.,San Antonio,68020487,97663939
23.,New Orleans,67530808,96960857
24.,Golden State,67416431,96796633
25.,Minnesota,66445144,95402059
26.,Utah,65841407,94535211
27.,Charlotte,62866926,90264446
28.,LA Clippers,62764206,90116959
29.,Brooklyn,62666523,89976708
30.,Memphis,55958148,80344805
