,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Frank Ragnow,Lions,2021,4,,54000000,13500000,42000000,,7.4%,,82612603,20653151,64254247
1,Creed Humphrey,Chiefs,2024,4,,72000000,18000000,50315000,,7.0%,,78709475,19677369,55003712
2,Corey Linsley,Chargers,2021,5,,62500000,12500000,26000000,,6.8%,,95616438,19123288,39776438
3,Ryan Kalil,Panthers,2011,6,,49116000,8186000,28000000,,6.8%,,113920558,18986760,64943718
4,Jason Kelce,Eagles,2022,1,,14000000,14000000,14000000,,6.7%,,18774256,18774256,18774256
5,Maurkice Pouncey,Steelers,2014,5,,44136625,8827325,13000000,,6.6%,,92653727,18530745,27290226
6,Kevin Mawae,Jets,1998,5,,16800000,3360000,5000000,,6.4%,,89535008,17907002,26647324
7,Jason Kelce,Eagles,2023,1,,14250000,14250000,14250000,,6.3%,,17698399,17698399,17698399
8,Alex Mack,Browns,2014,5,,42000000,8400000,26000000,,6.3%,,88168421,17633684,54580451
9,Ryan Kelly,Colts,2020,4,,49650000,12412500,34000000,,6.3%,,69940868,17485217,47895055
10,Mike Pouncey,Dolphins,2015,5,,44750000,8950000,22000000,,6.2%,,87201284,17440257,42869905
11,Ryan Jensen,Buccaneers,2022,3,,39000000,13000000,26500000,,6.2%,,52299712,17433237,35536984
12,Rodney Hudson,Raiders,2015,5,,44500000,8900000,20000000,,6.2%,,86714126,17342825,38972641
13,Brandon Linder,Jaguars,2017,5,,51703000,10340600,24000000,,6.2%,,86439986,17287997,40124551
14,Travis Frederick,Cowboys,2016,6,,56400000,9400000,28162822,,6.1%,,101416114,16902686,50641205
15,Nick Mangold,Jets,2010,7,,54075000,7725000,22000000,,6.0%,,117036744,16719535,47615504
16,Rodney Hudson,Raiders,2019,3,,33750000,11250000,24400000,,6.0%,,50069075,16689692,36198087
17,John Sullivan,Vikings,2015,1,,8500000,8500000,1000000,,5.9%,,16563372,16563372,1948632
18,Ryan Jensen,Buccaneers,2018,4,,42000000,10500000,22000000,,5.9%,,66176072,16544018,34663657
19,Mitch Morse,Bills,2019,4,,44450000,11112500,26500000,,5.9%,,65942827,16485707,39313496
20,Nick Martin,Texans,2019,3,,33000000,11000000,18351132,,5.8%,,48956429,16318810,27224421
21,Maurkice Pouncey,Steelers,2019,2,,22000000,11000000,15000000,,5.8%,,32637620,16318810,22252922
22,Alex Mack,Falcons,2016,5,,45000000,9000000,28500000,,5.8%,,80917112,16183422,51247504
23,J.C. Tretter,Browns,2019,3,,32550000,10850000,20750000,,5.8%,,48288842,16096281,30783209
24,Erik McCoy,Saints,2022,5,,60000000,12000000,33000000,,5.8%,,80461095,16092219,44253602
25,Rodney Hudson,Cardinals,2021,3,,30000000,10000000,16000000,,5.5%,,45895890,15298630,24477808
26,Ryan Kalil,Panthers,2016,2,,16750000,8375000,11000000,,5.4%,,30119147,15059574,19779739
27,Justin Britt,Seahawks,2017,3,,27000000,9000000,15991399,,5.4%,,45140120,15046707,26735321
28,Jeff Faine,Buccaneers,2008,6,,37500000,6250000,12000000,,5.4%,,90258621,15043103,28882759
29,Weston Richburg,49ers,2018,5,,47500000,9500000,28500000,,5.4%,,74841986,14968397,44905192
30,Tom Nalen,Broncos,1999,7,,21350000,3050000,4550000,,5.3%,,104051808,14864544,22174976
31,Chris Myers,Texans,2012,4,,25000000,6250000,14000000,,5.2%,,57877280,14469320,32411277
32,Max Unger,NO/SEA,2012,4,,24935000,6233750,11500000,,5.2%,,57726799,14431700,26623549
33,Eric Wood,Bills,2013,4,,25400000,6350000,14500000,,5.2%,,57655935,14413984,32913821
34,Chase Roullier,Commanders,2020,4,,40500000,10125000,19020000,,5.1%,,57051463,14262866,26793058
35,Corey Linsley,Packers,2017,3,,25500000,8500000,8000000,,5.1%,,42632335,14210778,13374850
36,Drew Dalman,Bears,2025,3,,42000000,14000000,28000000,,5.0%,,42000000,14000000,28000000
37,Kevin Mawae,Jets,2002,5,,17750000,3550000,7000000,,5.0%,,69700848,13940170,27487658
38,Scott Wells,Rams,2012,4,,24000000,6000000,13000000,,5.0%,,55562189,13890547,30096186
39,Jason Kelce,Eagles,2021,1,,9000000,9000000,9000000,,4.9%,,13768767,13768767,13768767
40,Lloyd Cushenberry,Titans,2024,4,,50000000,12500000,30000000,,4.9%,,54659358,13664839,32795615
41,Eric Wood,Bills,2017,2,,16000000,8000000,14200000,,4.8%,,26749701,13374850,23740359
42,Matt Paradis,Panthers,2019,3,,27030000,9010000,12000000,,4.8%,,40099766,13366589,17802338
43,Max Unger,Saints,2016,3,,22250000,7416667,14300000,,4.8%,,40009017,13336339,25713660
44,Jason Kelce,Eagles,2014,6,,37667000,6277833,13000000,,4.7%,,79072379,13178729,27290226
45,Mitch Morse,Bills,2022,2,,19500000,9750000,12000000,,4.7%,,26149856,13074928,16092219
46,David Baas,Giants,2011,5,,27500000,5500000,12000000,,4.6%,,63784008,12756802,27833022
47,Connor McGovern,Jets,2020,3,,27000000,9000000,18000000,,4.5%,,38034309,12678103,25356206
48,Mike Pouncey,Chargers,2019,1,,8500000,8500000,4000000,,4.5%,,12609989,12609989,5934113
49,Ryan Kalil,Jets,2019,1,,8400000,8400000,3000000,,4.5%,,12461637,12461637,4450584
50,Jason Kelce,Eagles,2019,3,,24500000,8166667,19000000,,4.3%,,36346440,12115480,28187035
51,Mike Pouncey,Chargers,2018,2,,15000000,7500000,10000000,,4.2%,,23634312,11817156,15756208
52,John Sullivan,Vikings,2011,5,,24500000,4900000,5000000,,4.1%,,56825753,11365151,11597092
53,Tyler Biadasz,Commanders,2024,3,,30000000,10000000,20700000,,3.9%,,32795615,10931872,22628974
54,Mitch Morse,Bills,2021,2,,14125000,7062500,4150000,,3.9%,,21609315,10804658,6348932
55,Spencer Long,Jets,2018,4,,27400000,6850000,9000000,,3.9%,,43172009,10793002,14180587
56,Dan Koppen,Patriots,2006,5,,19500000,3900000,7500000,,3.8%,,53376471,10675294,20529412
57,Nick Hardwick,Chargers,2012,3,,13500000,4500000,5250000,,3.7%,,31253731,10417910,12154229
58,Trey Hopkins,Bengals,2019,3,,20400000,6800000,4500000,,3.6%,,30263974,10087991,6675877
59,Ben Jones,Titans,2019,2,,13500000,6750000,9500000,,3.6%,,20027630,10013815,14093518
60,Connor Williams,Dolphins,2022,2,,14035000,7017500,8535000,,3.4%,,18821191,9410596,11445591
61,Jeremy Zuttah,Buccaneers,2012,2,,16250000,4062500,7500000,,3.4%,,37620232,9405058,17363184
62,Ben Jones,Titans,2022,2,,14000000,7000000,8000000,,3.4%,,18774256,9387128,10728146
63,J.C. Tretter,Browns,2017,3,,16750000,5583333,10000000,,3.3%,,28003593,9334530,16718563
64,Nick Hardwick,Chargers,2006,5,,17000000,3400000,2800000,,3.3%,,46533333,9306667,7664314
65,Tom Nalen,Broncos,1996,5,,6650000,1330000,1000000,,3.3%,,45559345,9111869,6851029
66,Ryan Kelly,Vikings,2025,2,,18000000,9000000,9150000,,3.2%,,18000000,9000000,9150000
67,Kevin Mawae,Titans,2006,4,,13000000,3250000,3940000,,3.2%,,35584314,8896078,10784784
68,Andre James,Raiders,2024,3,,24000000,8000000,15660000,,3.1%,,26236492,8745497,17119311
69,Samson Satele,Colts,2012,3,,10800000,3600000,4900000,,3.0%,,25002985,8334328,11343947
70,John Sullivan,Rams,2018,2,,10499999,5250000,3249999,,3.0%,,16544016,8272009,5120766
71,Tom Nalen,Broncos,2006,3,,9000000,3000000,3000000,,2.9%,,24635294,8211765,8211765
72,Kyle Cook,Bengals,2011,4,,14000000,3500000,3200000,,2.9%,,32471859,8117965,7422139
73,Brian Allen,Rams,2022,3,,18035000,6011667,8000000,,2.9%,,24185264,8061755,10728146
74,Ted Karras,Bengals,2022,3,,18000000,6000000,5000000,,2.9%,,24138329,8046110,6705091
75,Kory Lichtensteiger,Commanders,2013,5,,17500000,3500000,2750000,,2.8%,,39723577,7944715,6242276
76,Scott Wells,Packers,2006,5,,14500000,2900000,500000,,2.8%,,39690196,7938039,1368627
77,Scott Wells,Rams,2014,2,,7500000,3750000,1650000,,2.8%,,15744361,7872180,3463759
78,Ben Jones,Titans,2016,4,,17500000,4375000,7500000,,2.8%,,31467766,7866941,13486185
