,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Michael Strahan,Giants,1999,3,,29300000,9766667,12000000,,17.0%,,142797095,47599033,58483452
1,T.J. Watt,Steelers,2021,4,,112011000,28002750,80000000,,15.3%,,171361486,42840372,122389041
2,Nick Bosa,49ers,2023,5,,170000000,34000000,122500000,,15.1%,,211138790,42227758,152144128
3,Myles Garrett,Browns,2025,4,,160000000,40000000,123596125,,14.3%,,160000000,40000000,123596125
4,Joey Bosa,Chargers,2020,5,,135000000,27000000,102000000,,13.6%,,190171544,38034309,143685166
5,Julius Peppers,Panthers,2009,1,,16683000,16683000,16683000,,13.6%,,37869054,37869054,37869054
6,Mario Williams,Bills,2012,6,,96000000,16000000,50000000,,13.3%,,222248756,37041459,115754561
7,Khalil Mack,CHI/LAC,2018,6,,141000000,23500000,90000000,,13.3%,,222162528,37027088,141805869
8,Danielle Hunter,Texans,2025,2,,55100000,35600000,54100000,,12.8%,,55100000,35600000,54100000
9,Maxx Crosby,Raiders,2025,3,,106500000,35500000,91500000,,12.7%,,106500000,35500000,91500000
10,Clark Haggans,Steelers,2004,4,,10200000,10200000,3000000,,12.7%,,35340895,35340895,10394381
11,Myles Garrett,Browns,2020,5,,125000000,25000000,100000000,,12.6%,,176084763,35216953,140867810
12,Von Miller,DEN/LAR,2016,6,,114500000,19083333,70000000,,12.3%,,205889096,34314849,125871063
13,Justin Houston,Chiefs,2015,6,,101000000,16833333,52500000,,11.7%,,196811837,32801972,102303183
14,Maxx Crosby,Raiders,2022,4,,94000000,23500000,53030000,,11.3%,,126055716,31513929,71114198
15,Demarcus Lawrence,Cowboys,2019,5,,105000000,21000000,65000000,,11.2%,,155770457,31154091,96429330
16,Josh Hines-Allen,Jaguars,2024,5,,141250000,28250000,88000000,,11.1%,,154412686,30882537,96200470
17,Frank Clark,Chiefs,2019,5,,104000000,20800000,62305000,,11.1%,,154286929,30857386,92431222
18,Brian Burns,Giants,2024,5,,141000000,28200000,87500000,,11.0%,,154139389,30827878,95653876
19,Dwight Freeney,Colts,2007,6,,78000000,12000000,30000000,,11.0%,,199794495,30737615,76844037
20,Olivier Vernon,CLE/NYG,2016,5,,85000000,17000000,52500000,,10.9%,,152843434,30568687,94403297
21,Demarcus Lawrence,Cowboys,2019,1,,20571600,20571600,0,,10.9%,,30518548,30518548,0
22,Montez Sweat,Bears,2023,4,,98000000,24500000,72865000,,10.9%,,121715302,30428826,90497811
23,Julius Peppers,Bears,2010,6,,84000000,14000000,42000000,,10.9%,,181804651,30300775,90902326
24,Clay Matthews,Packers,2013,5,,66000000,13200000,20500000,,10.7%,,149814634,29962927,46533333
25,Robert Quinn,LAR/MIA/DAL,2014,4,,57014895,14253724,41171136,,10.7%,,119688411,29922103,86428430
26,Rashan Gary,Packers,2023,4,,96000000,24000000,34636928,,10.7%,,119231317,29807829,43018818
27,DeMarcus Ware,Cowboys,2009,6,,78000000,13000000,40000000,,10.6%,,177053659,29508943,90796748
28,Bradley Chubb,Dolphins,2022,5,,110000000,22000000,63212444,,10.6%,,147512008,29502402,84769041
29,Jared Allen,Vikings,2008,6,,73260069,12210012,31000069,,10.5%,,176329407,29388236,74613959
30,Charles Johnson,Panthers,2011,6,,76000000,12666667,32000000,,10.5%,,176275805,29379302,74221391
31,Courtney Brown,Browns,2000,7,,44939436,6419919,10880250,,10.3%,,201812561,28830364,48860674
32,Trent Cole,Eagles,2012,4,,48525000,12131250,14500000,,10.1%,,112339801,28084950,33568823
33,Chris Long,Rams,2012,4,,48190000,12047500,36750000,,10.0%,,111564245,27891061,85079602
34,Chandler Jones,Cardinals,2017,5,,82500000,16500000,53000000,,9.9%,,137928144,27585629,88608383
35,Greg Hardy,Panthers,2014,1,,13116000,13116000,13116000,,9.9%,,27533738,27533738,27533738
36,Ezekiel Ansah,Lions,2018,1,,17143000,17143000,17143000,,9.7%,,27010867,27010867,27010867
37,Demarcus Lawrence,Cowboys,2018,1,,17143000,17143000,17143000,,9.7%,,27010867,27010867,27010867
38,Von Miller,Bills,2022,6,,120000000,20000000,51435000,,9.6%,,160922190,26820365,68975274
39,Danielle Hunter,Texans,2024,2,,49000000,24500000,48000000,,9.6%,,53566171,26783085,52472984
40,Melvin Ingram,Chargers,2017,4,,64000000,16000000,42000000,,9.6%,,106998802,26749701,70217964
41,Trey Flowers,Lions,2019,5,,90000000,18000000,56000000,,9.6%,,133517535,26703507,83077577
42,Tamba Hali,Chiefs,2011,5,,57500000,11500000,35000000,,9.6%,,133366563,26673313,81179647
43,Brian Burns,Panthers,2024,1,,24007000,24007000,0,,9.4%,,26244144,26244144,0
44,Josh Hines-Allen,Jaguars,2024,1,,24007000,24007000,0,,9.4%,,26244144,26244144,0
45,Trey Hendrickson,Bengals,2023,1,,21000000,21000000,8000000,,9.3%,,26081851,26081851,9935943
46,Reggie White,Packers,1996,5,,19000000,3800000,3000000,,9.3%,,130169558,26033912,20553088
47,Shaquil Barrett,Buccaneers,2021,4,,68000000,17000000,34500000,,9.3%,,104030685,26007671,52780274
48,Cameron Jordan,Saints,2019,3,,52500000,17500000,42735000,,9.3%,,77885228,25961743,63398576
49,Michael Strahan,Giants,1996,3,,11365000,3788333,3500000,,9.3%,,77861949,25953981,23978603
50,Jason Pierre-Paul,TB/NYG,2017,4,,62000000,15500000,40000000,,9.3%,,103655090,25913772,66874251
51,Julius Peppers,Panthers,2002,7,,46000000,6571429,13150000,,9.2%,,180633184,25804742,51637530
52,Courtney Brown,Browns,2004,2,,14700000,7350000,2000000,,9.1%,,50932466,25466233,6929587
53,Courtney Brown,Browns,2003,3,,20500000,6833333,1000000,,9.1%,,76307545,25435847,3722319
54,Frank Clark,Seahawks,2019,1,,17128000,17128000,0,,9.1%,,25409870,25409870,0
55,Michael Johnson,Bengals,2013,1,,11175000,11175000,11175000,,9.1%,,25366341,25366341,25366341
