,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Kyle Juszczyk,49ers,2017,4,,21000000,5250000,9750000,,3.1%,,35108982,8777246,16300599
1,Marcel Reece,Raiders,2013,3,,11027000,3675667,7066294,,3.0%,,25030393,8343465,16039913
2,Kyle Juszczyk,49ers,2021,5,,27000000,5400000,9600000,,3.0%,,41306301,8261260,14686685
3,Le'Ron McClain,Chargers,2012,3,,8250000,2750000,3500000,,2.3%,,19099502,6366501,8102819
4,John Kuhn,Packers,2011,3,,7500000,2500000,2000000,,2.1%,,17395639,5798546,4638837
5,Mike Tolbert,Panthers,2012,4,,10000000,2500000,4200000,,2.1%,,23150912,5787728,9723383
6,Jerome Felton,Vikings,2013,3,,7500000,2500000,2500000,,2.0%,,17024390,5674797,5674797
7,Patrick Ricard,Ravens,2019,2,,7300000,3650000,6300000,,1.9%,,10829756,5414878,9346227
8,Le'Ron McClain,Ravens,2010,1,,2396000,2396000,0,,1.9%,,5185761,5185761,0
9,Alec Ingold,Dolphins,2023,3,,12200000,4066667,4080000,,1.8%,,15152313,5050771,5067331
10,Patrick Ricard,Ravens,2022,3,,11250000,3750000,4500000,,1.8%,,15086455,5028818,6034582
11,Kyle Juszczyk,49ers,2024,2,,9100000,4550000,4000000,,1.8%,,9948003,4974002,4372749
12,Marcel Reece,Raiders,2012,1,,2023000,2023000,600000,,1.7%,,4683430,4683430,1389055
13,Derek Watt,Steelers,2020,3,,9750000,3250000,3250000,,1.6%,,13734612,4578204,4578204
14,Jerome Felton,Bills,2015,4,,9200000,2300000,4000000,,1.6%,,17927415,4481854,7794528
15,Anthony Sherman,Chiefs,2014,3,,6300000,2100000,3053529,,1.6%,,13225263,4408421,6410115
16,Alec Ingold,Dolphins,2022,2,,6500000,3250000,3500000,,1.6%,,8716619,4358309,4693564
17,Mike Tolbert,Chargers,2011,1,,1835000,1835000,0,,1.5%,,4256133,4256133,0
18,C.J. Ham,Vikings,2020,4,,12000000,3000000,5000000,,1.5%,,16904137,4226034,7043391
19,Jamize Olawale,LV/DAL,2015,3,,6000000,2000000,1900000,,1.4%,,11691792,3897264,3702401
20,Lawrence Vickers,Browns,2010,1,,1759000,1759000,0,,1.4%,,3807076,3807076,0
21,Bruce Miller,49ers,2014,3,,5400000,1800000,3250000,,1.4%,,11335940,3778647,6822556
22,Patrick DiMarco,Bills,2017,4,,8400000,2100000,4800000,,1.3%,,14043593,3510898,8024910
23,Le'Ron McClain,Chiefs,2011,1,,1500000,1500000,500000,,1.2%,,3479128,3479128,1159709
24,Lawrence Vickers,Texans,2011,2,,3000000,1500000,500000,,1.2%,,6958255,3479128,1159709
25,C.J. Ham,Vikings,2023,2,,5600000,2800000,4400000,,1.2%,,6955160,3477580,5464769
26,Jay Prosch,Texans,2017,3,,5750000,1916667,2690000,,1.1%,,9613174,3204392,4497293
27,Anthony Sherman,Chiefs,2018,1,,2000000,2000000,0,,1.1%,,3151242,3151242,0
28,Jerome Felton,Vikings,2014,1,,1500000,1500000,200000,,1.1%,,3148872,3148872,419850
29,Rhett Ellison,Vikings,2016,1,,1750000,1750000,0,,1.1%,,3146777,3146777,0
30,Reggie Gilliam,Bills,2022,2,,4600000,2300000,2300000,,1.1%,,6168684,3084342,3084342
31,Zach Line,Vikings,2016,1,,1671000,1671000,0,,1.1%,,3004722,3004722,0
32,Mike Tolbert,Panthers,2016,2,,3300000,1650000,700000,,1.1%,,5933922,2966961,1258711
33,Keith Smith,Falcons,2023,1,,2350000,2350000,625000,,1.0%,,2918683,2918683,776246
34,Patrick Ricard,Ravens,2025,1,,2872500,2872500,2872500,,1.0%,,2872500,2872500,2872500
35,James Develin,Patriots,2018,2,,3600000,1800000,600000,,1.0%,,5672235,2836117,945372
36,Andy Janovich,CLE/DEN,2019,3,,5700000,1900000,2500000,,1.0%,,8456111,2818704,3708820
37,Jerome Felton,IND/CAR/DET,2011,1,,1200000,1200000,0,,1.0%,,2783302,2783302,0
38,Jason Cabinda,Lions,2022,2,,4100000,2050000,2035000,,1.0%,,5498175,2749087,2728972
39,Roosevelt Nix,Steelers,2018,4,,6975000,1743750,1750000,,1.0%,,10989955,2747489,2757336
40,Jamize Olawale,Cowboys,2019,3,,5400000,1800000,2800000,,1.0%,,8011052,2670351,4153879
41,Lawrence Vickers,Cowboys,2012,2,,2200000,1100000,0,,0.9%,,5093201,2546600,0
42,John Kuhn,Packers,2010,1,,1176000,1176000,0,,0.9%,,2545265,2545265,0
