,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Aaron Donald,Rams,2022,3,,95000000,31666667,65000000,,15.2%,,127396734,42465578,87166186
1,Warren Sapp,Buccaneers,1998,5,,35382500,7076500,8650000,,13.5%,,188569787,37713957,46099870
2,Ndamukong Suh,Dolphins,2015,6,,114375000,19062500,59955000,,13.3%,,222874791,37145798,116830235
3,Aaron Donald,Rams,2018,6,,135000000,22500000,86892000,,12.7%,,212708804,35451467,136908840
4,J.J. Watt,Texans,2014,6,,100000000,16666667,51876385,,12.5%,,209924812,34987469,108901404
5,Richard Seymour,Raiders,2011,2,,30000000,15000000,30000000,,12.5%,,69582555,34791277,69582555
6,Chris Jones,Chiefs,2024,5,,158750000,31750000,95000000,,12.4%,,173543461,34708692,103852780
7,John Randle,Vikings,1998,5,,32500000,6500000,20000000,,12.4%,,173207605,34641521,106589295
8,Leonard Williams,SEA/NYG,2021,3,,63000000,21000000,45000000,,11.5%,,96381370,32127123,68843836
9,Trevor Pryce,Broncos,2001,8,,59900000,7487500,10600000,,11.1%,,248113345,31014168,43906535
10,Muhammad Wilkerson,Jets,2016,5,,86000000,17200000,53500000,,11.1%,,154641592,30928318,96201456
11,Marcell Dareus,JAX/BUF,2015,6,,95100000,15850000,60000000,,11.1%,,185314908,30885818,116917923
12,Fletcher Cox,Eagles,2016,6,,102600000,17100000,63299000,,11.0%,,184491016,30748503,113821606
13,Christian Wilkins,Raiders,2024,4,,110000000,27500000,82750000,,10.8%,,120250587,30062647,90461237
14,Quinnen Williams,Jets,2023,4,,96000000,24000000,66000000,,10.7%,,119231317,29807829,81971530
15,DeForest Buckner,Colts,2020,4,,84000000,21000000,56378000,,10.6%,,118328961,29582240,79418454
16,Jeffery Simmons,Titans,2023,4,,94000000,23500000,59330000,,10.5%,,116747331,29186833,73687438
17,Paul Soliai,Dolphins,2011,1,,12476000,12476000,12476000,,10.4%,,28937065,28937065,28937065
18,Gerald McCoy,Buccaneers,2014,7,,95200000,13600000,51500000,,10.2%,,199848421,28549774,108111278
19,Haloti Ngata,BAL/DET,2011,5,,61000000,12200000,35000000,,10.1%,,141484528,28296906,81179647
20,Chris Jones,Chiefs,2020,4,,80000000,20000000,60000000,,10.1%,,112694248,28173562,84520686
21,Richard Seymour,Raiders,2010,1,,12975000,12975000,12975000,,10.1%,,28082326,28082326,28082326
22,Dexter Lawrence,Giants,2023,4,,90000000,22500000,59000000,,10.0%,,111779359,27944840,73277580
23,Daron Payne,Commanders,2023,4,,90000000,22500000,60020000,,10.0%,,111779359,27944840,74544413
24,Jonathan Allen,Commanders,2021,4,,72000000,18000000,35642235,,9.9%,,110150137,27537534,54527737
25,Vita Vea,Buccaneers,2021,4,,71000000,17750000,40596440,,9.7%,,108620274,27155068,62106992
26,Kawann Short,Panthers,2017,5,,80500000,16100000,45000000,,9.6%,,134584431,26916886,75233533
27,Nnamdi Madubuike,Ravens,2024,4,,98000000,24500000,75500000,,9.6%,,107132341,26783085,82535630
28,Alim McNeill,Lions,2024,4,,97000000,24250000,55060667,,9.5%,,106039154,26509789,60191614
29,Derrick Brown,Panthers,2024,4,,96000000,24000000,63165000,,9.4%,,104945967,26236492,69051167
30,Javon Hargrave,49ers,2023,4,,84000000,21000000,40000000,,9.3%,,104327402,26081851,49679715
31,Milton Williams,Patriots,2025,4,,104000000,26000000,63000000,,9.3%,,104000000,26000000,63000000
32,Ndamukong Suh,Lions,2010,5,,60000000,12000000,40000000,,9.3%,,129860465,25972093,86573643
33,Albert Haynesworth,Commanders,2009,7,,80000000,11428571,41000000,,9.3%,,181593496,25941927,93066667
34,Geno Atkins,Bengals,2018,4,,65200000,16300000,17000000,,9.2%,,102730474,25682619,26785553
35,Malik Jackson,Jaguars,2016,6,,85500000,14250000,42000000,,9.2%,,153742513,25623752,75522638
36,Richard Seymour,NE/LV,2006,3,,27980000,9326667,24600000,,9.1%,,76588392,25529465,67336471
37,Calais Campbell,Cardinals,2012,5,,55000000,11000000,31000000,,9.1%,,127330017,25466003,71767828
38,Jurrell Casey,TEN/DEN,2017,4,,60400000,15100000,40000000,,9.0%,,100980120,25245030,66874251
39,Grady Jarrett,Falcons,2019,4,,68000000,17000000,42500000,,9.0%,,100879915,25219979,63049947
40,DeForest Buckner,Colts,2024,2,,46000000,23000000,53250000,,9.0%,,50286609,25143305,58212216
41,Calais Campbell,Jaguars,2017,4,,60000000,15000000,30000000,,9.0%,,100311377,25077844,50155689
42,Luther Elliss,Lions,1999,7,,35500000,5071429,13000000,,8.9%,,173013546,24716223,63357073
43,Kenny Clark,Packers,2020,4,,70000000,17500000,25000000,,8.8%,,98607467,24651867,35216953
44,John Randle,Vikings,1995,2,,6437333,3218667,2250000,,8.7%,,48444835,24222421,16932615
45,Geno Atkins,Bengals,2013,5,,53327000,10665400,15000000,,8.7%,,121047954,24209591,34048780
46,Nnamdi Madubuike,Ravens,2024,1,,22102000,22102000,0,,8.7%,,24161623,24161623,0
47,Arik Armstead,49ers,2020,5,,85000000,17000000,45850000,,8.6%,,119737639,23947528,64587891
48,Gerald McCoy,Buccaneers,2010,5,,55000000,11000000,25976500,,8.5%,,119038760,23807752,56222006
49,Daron Payne,Commanders,2023,1,,18937000,18937000,0,,8.4%,,23519619,23519619,0
50,Leonard Williams,Seahawks,2024,3,,64500000,21500000,43850000,,8.4%,,70510572,23503524,47936257
51,Kenny Clark,Packers,2024,3,,64000000,21333333,17500000,,8.4%,,69963978,23321326,19130775
