,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Phil Dawson,Browns,2012,1,,3810000,3810000,3810000,,3.2%,,8820498,8820498,8820498
1,Sebastian Janikowski,Raiders,2010,4,,16000000,4000000,9000000,,3.1%,,34629457,8657364,19479070
2,Sebastian Janikowski,Raiders,2013,4,,15100000,3775000,8000000,,3.1%,,34275772,8568943,18159350
3,Stephen Gostkowski,Patriots,2015,4,,17200000,4300000,10100000,,3.0%,,33516471,8379118,19681184
4,Adam Vinatieri,Patriots,2005,1,,2509000,2509000,2509000,,2.9%,,8193132,8193132,8193132
5,Justin Tucker,Ravens,2022,4,,24000000,6000000,17500000,,2.9%,,32184438,8046110,23467819
6,Justin Tucker,Ravens,2016,4,,16800000,4200000,10800000,,2.7%,,30209055,7552264,19420107
7,Justin Tucker,Ravens,2019,4,,20000000,5000000,12500000,,2.7%,,29670563,7417641,18544102
8,Phil Dawson,Browns,2011,1,,3175000,3175000,3175000,,2.6%,,7364154,7364154,7364154
9,Stephen Gostkowski,Patriots,2010,5,,13600000,3400000,4000000,,2.6%,,29435039,7358760,8657364
10,Sebastian Janikowski,Raiders,2004,5,,10500000,2100000,2800000,,2.6%,,36380333,7276067,9701422
11,Mason Crosby,Packers,2016,4,,16100000,4025000,5000000,,2.6%,,28950345,7237586,8990790
12,Adam Vinatieri,Colts,2011,3,,9200000,3066667,3600000,,2.5%,,21338650,7112884,8349907
13,Robbie Gould,49ers,2019,4,,19000000,4750000,10500000,,2.5%,,28187035,7046759,15577046
14,Daniel Carlson,Raiders,2021,4,,18400000,4600000,11140001,,2.5%,,28149479,7037370,17042676
15,Adam Vinatieri,Patriots,2002,3,,5375000,1791667,5375000,,2.5%,,21106595,7035533,21106595
16,Harrison Butker,Chiefs,2024,4,,25600000,6400000,17750000,,2.5%,,27985591,6996398,19404072
17,Matt Gay,Colts,2023,4,,22500000,5625000,13000000,,2.5%,,27944840,6986210,16145907
18,Jason Hanson,Lions,2004,4,,8000000,2000000,2150000,,2.5%,,27718349,6929587,7449306
19,Graham Gano,Giants,2023,3,,16500000,5500000,13250000,,2.4%,,20492883,6830961,16456406
20,Dan Bailey,Cowboys,2014,7,,22500000,3214286,7500000,,2.4%,,47233083,6747584,15744361
21,Jason Sanders,Dolphins,2021,5,,22000000,4400000,10000000,,2.4%,,33656986,6731397,15298630
22,Chris Boswell,Steelers,2022,4,,20000000,5000000,12500000,,2.4%,,26820365,6705091,16762728
23,Jason Elam,Broncos,2003,5,,9000000,1800000,2675000,,2.4%,,33500873,6700175,9957204
24,Graham Gano,Panthers,2018,4,,17000000,4250000,9000000,,2.4%,,26785553,6696388,14180587
25,Chris Boswell,Steelers,2018,4,,16806000,4201500,7295000,,2.4%,,26479883,6619971,11494153
26,Shaun Suisham,Steelers,2014,4,,12575000,3143750,2850000,,2.4%,,26398045,6599511,5982857
27,Graham Gano,Giants,2020,3,,14000000,4666667,9500000,,2.4%,,19721493,6573832,13382442
28,Adam Vinatieri,Colts,2006,5,,12000000,2400000,3500000,,2.4%,,32847059,6569412,9580392
29,Jake Elliott,Eagles,2024,4,,24000000,6000000,14150000,,2.3%,,26236492,6559123,15468598
30,Jason Myers,Seahawks,2023,4,,21100000,5275000,12300000,,2.3%,,26206050,6551512,15276512
31,Graham Gano,Panthers,2014,4,,12400000,3100000,3950000,,2.3%,,26030677,6507669,8292030
32,Younghoe Koo,Falcons,2022,5,,24250000,4850000,11500000,,2.3%,,32519693,6503939,15421710
33,Phil Dawson,49ers,2014,2,,6134000,3067000,3500000,,2.3%,,12876788,6438394,7347368
34,Ryan Succop,Chiefs,2011,5,,13750000,2750000,4000000,,2.3%,,31892004,6378401,9277674
35,Matt Prater,Lions,2017,3,,11400000,3800000,5000000,,2.3%,,19059162,6353054,8359281
36,Tyler Bass,Bills,2023,4,,20400000,5100000,12320000,,2.3%,,25336655,6334164,15301352
37,Blair Walsh,Vikings,2015,4,,13000000,3250000,5250000,,2.3%,,25332217,6333054,10230318
38,Stephen Gostkowski,Patriots,2019,2,,8500000,4250000,5500000,,2.3%,,12609989,6304995,8159405
39,Ryan Succop,Titans,2018,5,,20000000,4000000,7500000,,2.3%,,31512415,6302483,11817156
40,Brandon McManus,Broncos,2017,3,,11254000,3751333,8250000,,2.2%,,18815071,6271690,13792814
41,Ka'imi Fairbairn,Texans,2020,4,,17650000,4412500,9000000,,2.2%,,24863169,6215792,12678103
42,Matt Bryant,Falcons,2011,4,,10700000,2675000,3500000,,2.2%,,24817778,6204444,8117965
43,Mike Nugent,Bengals,2012,1,,2654000,2654000,2654000,,2.2%,,6144252,6144252,6144252
44,Ryan Succop,Buccaneers,2021,3,,12000000,4000000,6250000,,2.2%,,18358356,6119452,9561644
45,Brandon McManus,Broncos,2020,4,,17200000,4300000,9500000,,2.2%,,24229263,6057316,13382442
46,Mason Crosby,Packers,2020,3,,12900000,4300000,5200000,,2.2%,,18171948,6057316,7325126
47,Harrison Butker,Chiefs,2019,5,,20275000,4055000,9100000,,2.2%,,30078533,6015707,13500106
48,Jason Hanson,Lions,2009,4,,10600000,2650000,2700000,,2.2%,,24061138,6015285,6128780
49,Cameron Dicker,Chargers,2024,4,,22004000,5501000,12500000,,2.2%,,24054490,6013623,13664839
50,Evan McPherson,Bengals,2024,3,,16500000,5500000,5000000,,2.2%,,18037588,6012529,5465936
51,Wil Lutz,Saints,2019,5,,20250000,4050000,9200000,,2.2%,,30041445,6008289,13648459
52,Jake Elliott,Eagles,2019,5,,20150000,4030000,10455000,,2.1%,,29893092,5978618,15510287
53,Cody Parkey,Bears,2018,4,,15000000,3750000,9000000,,2.1%,,23634312,5908578,14180587
54,Matt Prater,Lions,2015,3,,900000,3000000,750000,,2.1%,,1753769,5845896,1461474
55,Dustin Hopkins,Browns,2024,3,,15900000,5300000,8362500,,2.1%,,17381676,5793892,9141778
56,Ka'imi Fairbairn,Texans,2024,3,,15900000,5300000,11060000,,2.1%,,17381676,5793892,12090650
57,Jason Elam,Broncos,2002,1,,1465402,1465402,1465402,,2.1%,,5754353,5754353,5754353
58,Stephen Hauschka,Bills,2019,2,,7750000,3875000,6275000,,2.1%,,11497343,5748672,9309139
59,Adam Vinatieri,Colts,2019,1,,3875000,3875000,2000000,,2.1%,,5748672,5748672,2967056
60,Jason Myers,Seahawks,2019,4,,15450000,3862500,7000000,,2.1%,,22920510,5730128,10384697
61,Adam Vinatieri,Colts,2018,1,,3625000,3625000,2000000,,2.0%,,5711625,5711625,3151242
62,Jason Hanson,Lions,1995,5,,3750000,750000,1250000,,2.0%,,28221024,5644205,9407008
63,Phil Dawson,49ers,2016,1,,3134000,3134000,1000000,,2.0%,,5635427,5635427,1798158
64,Josh Lambo,Jaguars,2019,4,,15500000,3785000,6500000,,2.0%,,22994687,5615154,9642933
65,Jason Hanson,Lions,1999,4,,4600000,1150000,1200000,,2.0%,,22418657,5604664,5848345
66,Jason Elam,Broncos,1996,6,,4870000,811667,1620000,,2.0%,,33364513,5560754,11098668
67,Matt Bryant,Falcons,2015,3,,8500000,2833333,1000000,,2.0%,,16563372,5521123,1948632
68,Matt Bryant,Falcons,2018,3,,10500000,3500000,2000000,,2.0%,,16544018,5514673,3151242
69,Mike Nugent,Buccaneers,2009,1,,2400000,2400000,600000,,2.0%,,5447805,5447805,1361951
70,Sebastian Janikowski,Raiders,2000,5,,6055000,1211000,2000000,,1.9%,,27191598,5438320,8981535
71,Jason Elam,Falcons,2008,4,,9000000,2250000,2500000,,1.9%,,21662069,5415517,6017241
72,Adam Vinatieri,Colts,2016,2,,6000000,3000000,1000000,,1.9%,,10788948,5394474,1798158
73,Phil Dawson,49ers,2013,1,,2350000,2350000,1000000,,1.9%,,5334309,5334309,2269919
74,Adam Vinatieri,Colts,2014,2,,5000000,2500000,500000,,1.9%,,10496241,5248120,1049624
75,Dan Carpenter,Bills,2014,4,,9950000,2487500,2150000,,1.9%,,20887519,5221880,4513383
76,Daniel Carlson,Raiders,2021,1,,3384000,3384000,0,,1.9%,,5177056,5177056,0
77,Chandler Catanzaro,Buccaneers,2018,3,,9750000,3250000,3750000,,1.8%,,15362302,5120767,5908578
78,Robbie Gould,49ers,2020,2,,7250000,3625000,7250000,,1.8%,,10212916,5106458,10212916
79,Brandon McManus,Packers,2025,3,,15300000,5100000,5000000,,1.8%,,15300000,5100000,5000000
80,Phil Dawson,Cardinals,2017,2,,6000000,3000000,1500000,,1.8%,,10031138,5015569,2507784
81,Sebastian Janikowski,Raiders,2017,1,,3000000,3000000,3000000,,1.8%,,5015569,5015569,5015569
82,Matt Prater,Cardinals,2021,2,,6500000,3250000,3775000,,1.8%,,9944110,4972055,5775233
83,Stephen Hauschka,Bills,2017,3,,8850000,2950000,4000000,,1.8%,,14795928,4931976,6687425
84,Cairo Santos,Bears,2023,4,,15600000,3900000,9583333,,1.7%,,19375089,4843772,11902431
85,Dan Bailey,Vikings,2020,3,,10000000,3333333,6000000,,1.7%,,14086781,4695593,8452069
86,Ryan Succop,Titans,2015,3,,7200000,2400000,2750000,,1.7%,,14030151,4676717,5358738
87,Matt Prater,Cardinals,2023,2,,7500000,3750000,4000000,,1.7%,,9314947,4657473,4967972
88,Ka'imi Fairbairn,Texans,2019,1,,3095000,3095000,0,,1.6%,,4591520,4591520,0
89,Greg Zuerlein,Jets,2024,2,,8400000,4200000,4200000,,1.6%,,9182772,4591386,4591386
90,Wil Lutz,Broncos,2024,2,,8400000,4200000,4510000,,1.6%,,9182772,4591386,4930274
91,Chris Boswell,Steelers,2018,1,,2914000,2914000,0,,1.6%,,4591359,4591359,0
92,Justin Tucker,Ravens,2015,1,,2356000,2356000,0,,1.6%,,4590977,4590977,0
93,Brandon McManus,Broncos,2017,1,,2746000,2746000,0,,1.6%,,4590917,4590917,0
94,Aldrick Rosas,Giants,2020,1,,3259000,3259000,0,,1.6%,,4590882,4590882,0
95,Zane Gonzalez,Cardinals,2020,1,,3259000,3259000,0,,1.6%,,4590882,4590882,0
96,Cairo Santos,Bears,2021,3,,9000000,3000000,4575000,,1.6%,,13768767,4589589,6999123
97,Phil Dawson,Browns,2005,5,,7000000,1400000,1600000,,1.6%,,22858480,4571696,5224795
98,Chase McLaughlin,Buccaneers,2024,3,,12300000,4100000,6500000,,1.6%,,13446202,4482067,7105717
99,Nick Folk,Titans,2024,1,,3755000,3755000,3500000,,1.5%,,4104918,4104918,3826155
