,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Quenton Nelson,Colts,2022,4,,80000000,20000000,60000000,,9.6%,,107281460,26820365,80461095
1,Joe Thuney,Bears,2021,5,,80000000,16000000,46890000,,8.8%,,122389041,24477808,71735277
2,Joel Bitonio,Browns,2021,3,,48000000,16000000,33102942,,8.8%,,73433425,24477808,50642967
3,Joe Thuney,Chiefs,2021,5,,80000000,16000000,46890000,,8.8%,,122389041,24477808,71735277
4,Landon Dickerson,Eagles,2024,4,,84000000,21000000,50000000,,8.2%,,91827721,22956930,54659358
5,Elgton Jenkins,Packers,2022,4,,68000000,17000000,24000000,,8.2%,,91189241,22797310,32184438
6,Carl Nicks,Buccaneers,2012,5,,47500000,9500000,31000000,,7.9%,,109966833,21993367,71767828
7,Kelechi Osemele,NYJ/LV,2016,5,,58500000,11700000,25700000,,7.5%,,105192246,21038449,46212662
8,Andrew Norwell,Jaguars,2018,5,,66500000,13300000,30000000,,7.5%,,104778781,20955756,47268623
9,Joe Thuney,Patriots,2020,1,,14781000,14781000,14781000,,7.5%,,20821671,20821671,20821671
10,Logan Mankins,NE/TB,2011,6,,51000000,8500000,30000000,,7.1%,,118290343,19715057,69582555
11,Alan Faneca,Steelers,2002,5,,24590000,4918000,6000000,,6.9%,,96560217,19312043,23560850
12,Alan Faneca,Jets,2008,5,,40000000,8000000,21000000,,6.9%,,96275862,19255172,50544828
13,Aaron Banks,Packers,2025,4,,77000000,19250000,27000000,,6.9%,,77000000,19250000,27000000
14,Steve Hutchinson,Vikings,2006,7,,49000000,7000000,10000000,,6.9%,,134125490,19160784,27372549
15,Jonah Jackson,Rams,2024,3,,51000000,17000000,34000000,,6.7%,,55752545,18584182,37168363
16,Laken Tomlinson,Jets,2022,3,,40000000,13333333,27000000,,6.4%,,53640730,17880243,36207493
17,Andy Levitre,Titans,2013,6,,46800000,7800000,16000000,,6.3%,,106232195,17705366,36318699
18,Jonah Jackson,Bears,2025,3,,52500000,17500000,30000000,,6.3%,,52500000,17500000,30000000
19,Ali Marpet,Buccaneers,2018,5,,54125000,10825000,26867351,,6.1%,,85280474,17056095,42332756
20,Joel Bitonio,Browns,2017,5,,50000000,10000000,23664777,,6.0%,,83592814,16718563,39564106
21,Ben Grubbs,Saints,2012,5,,36000000,7200000,16000000,,6.0%,,83343284,16668657,37041459
22,Rodger Saffold,Titans,2019,4,,44000000,11000000,22500000,,5.8%,,65275239,16318810,33379384
23,Andrus Peat,Saints,2020,5,,57500000,11500000,33850000,,5.8%,,80998991,16199798,47683754
24,Ben Powers,Broncos,2023,4,,52000000,13000000,28500000,,5.8%,,64583630,16145907,35396797
