,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Mitchell Fraboni,Broncos,2025,1,,4175000,4175000,1700000,,1.5%,,4175000,4175000,1700000
1,Brian Jennings,49ers,2003,1,,805000,805000,200000,,1.1%,,2996467,2996467,744464
2,Brian Jennings,49ers,2004,6,,4855000,809167,1100000,,1.0%,,16821573,2803597,3811273
3,Brian Jennings,49ers,2009,5,,5620000,1124000,1105000,,0.9%,,12756943,2551389,2508260
4,LP Ladouceur,Cowboys,2013,5,,5500000,1100000,600000,,0.9%,,12484553,2496911,1361951
5,Jon Dorenbos,Eagles,2013,3,,4250000,1062500,500000,,0.9%,,9647154,2411789,1134959
6,Jon Dorenbos,Eagles,2007,5,,4535000,907000,650000,,0.8%,,11616257,2323251,1664954
7,Garrison Sanborn,Bills,2014,4,,4426668,1106667,0,,0.8%,,9292674,2323169,0
8,Clark Harris,Bengals,2013,5,,4950000,990000,600000,,0.8%,,11236098,2247220,1361951
9,Beau Brinkley,Titans,2015,5,,5750000,1150000,840000,,0.8%,,11204634,2240927,1636851
10,James Winchester,Chiefs,2021,2,,2750000,1375000,465000,,0.8%,,4207123,2103562,711386
11,Don Muhlbach,Lions,2013,1,,905000,905000,65000,,0.7%,,2054276,2054276,147545
12,Mike Leach,Cardinals,2015,1,,1050000,1050000,543000,,0.7%,,2046064,2046064,1058107
13,Reid Ferguson,Bills,2021,3,,4000000,1333333,1175000,,0.7%,,6119452,2039817,1797589
14,Jon Dorenbos,PHI/NO,2016,3,,3395000,1131667,1350000,,0.7%,,6104747,2034916,2427513
15,Morgan Cox,Ravens,2016,5,,5600000,1120000,700000,,0.7%,,10069685,2013937,1258711
16,Luke Rhodes,Colts,2023,4,,6465000,1616250,2500000,,0.7%,,8029484,2007371,3104982
17,Aaron Brewer,Broncos,2015,4,,4050000,1012500,0,,0.7%,,7891960,1972990,0
18,J.J. Jansen,Panthers,2016,5,,5475000,1095000,700000,,0.7%,,9844915,1968983,1258711
19,Zach Wood,Saints,2023,4,,6310000,1577500,2300000,,0.7%,,7836975,1959244,2856584
20,Joe Cardona,Patriots,2023,4,,6300000,1575000,2600000,,0.7%,,7824555,1956139,3229181
21,Jake McQuaide,Rams,2013,4,,3445000,861250,500000,,0.7%,,7819870,1954967,1134959
22,Matt Overton,Colts,2015,4,,4000000,1000000,640000,,0.7%,,7794528,1948632,1247125
23,Zak DeOssie,Giants,2017,2,,2315000,1157500,400000,,0.7%,,3870347,1935174,668743
24,Nick Moore,Ravens,2023,1,,1550000,1550000,450000,,0.7%,,1925089,1925089,558897
25,Justin Drescher,Saints,2013,4,,3385000,846250,440000,,0.7%,,7683675,1920919,998764
26,Charley Hughlett,Browns,2022,4,,5715555,1428889,1952027,,0.7%,,7664664,1916166,2617704
27,Beau Brinkley,Titans,2019,4,,5125000,1281250,750000,,0.7%,,7603082,1900770,1112646
28,Jon Weeks,Texans,2015,4,,3900000,975000,330000,,0.7%,,7599665,1899916,643049
29,Josh Harris,Chargers,2022,4,,5600000,1400000,1920000,,0.7%,,7509702,1877426,2574755
30,Clark Harris,Bengals,2017,1,,1115000,1115000,90000,,0.7%,,1864120,1864120,150467
31,Jon Weeks,Texans,2021,1,,1212500,1212500,250000,,0.7%,,1854959,1854959,382466
32,J.J. Jansen,Panthers,2021,1,,1212500,1212500,0,,0.7%,,1854959,1854959,0
33,Jake McQuaide,Cowboys,2021,1,,1212500,1212500,137500,,0.7%,,1854959,1854959,210356
34,Clark Harris,Bengals,2021,1,,1212500,1212500,0,,0.7%,,1854959,1854959,0
35,Morgan Cox,Titans,2021,1,,1212500,1212500,887500,,0.7%,,1854959,1854959,1357753
