,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Shane Lechler,Raiders,2009,4,,16000000,4000000,9000000,,3.3%,,36318699,9079675,20429268
1,Dustin Colquitt,Chiefs,2013,5,,18750000,3750000,8900000,,3.0%,,42560976,8512195,20202276
2,Thomas Morstead,Saints,2012,6,,21885000,3647500,6925000,,3.0%,,50665771,8444295,16032007
3,Mike Scifres,Chargers,2011,5,,18125000,3625000,7405000,,3.0%,,42039460,8407892,17175294
4,Andy Lee,CAR/SF/CLE,2012,6,,20400000,3400000,7150000,,2.8%,,47227861,7871310,16552902
5,Pat McAfee,Colts,2013,1,,2977000,2977000,0,,2.4%,,6757548,6757548,0
6,Kevin Huber,Bengals,2013,5,,14000000,2800000,3200000,,2.3%,,31778862,6355772,7263740
7,Sam Koch,Ravens,2015,5,,16250000,3250000,7300000,,2.3%,,31665271,6333054,14225014
8,Thomas Morstead,Saints,2018,4,,15600000,3900000,9118000,,2.2%,,24579684,6144921,14366510
9,Sam Martin,Lions,2016,4,,13600276,3400069,5400000,,2.2%,,24455446,6113861,9710053
10,Bryan Anger,Buccaneers,2016,5,,17000000,3400000,6500000,,2.2%,,30568687,6113737,11688027
11,Matt Bosher,Falcons,2014,5,,14500000,2900000,5924118,,2.2%,,30439098,6087820,12436194
12,Pat McAfee,Colts,2014,5,,14500000,2900000,5250000,,2.2%,,30439098,6087820,11021053
13,Marquette King,Raiders,2016,1,,16500000,3300000,7550000,,2.1%,,29669608,5933922,13576093
14,Brett Kern,Titans,2015,5,,15000000,3000000,5000000,,2.1%,,29229481,5845896,9743160
15,Johnny Hekker,Rams,2014,6,,16578030,2763005,9100991,,2.1%,,34801398,5800233,19105238
16,Johnny Hekker,Rams,2017,6,,20814716,3469119,10000001,,2.1%,,34799214,5799868,16718565
17,Michael Dickson,Seahawks,2021,4,,14699059,3674765,8500000,,2.0%,,22487547,5621887,13003836
18,Johnny Hekker,Rams,2019,5,,18750000,3750000,6750000,,2.0%,,27816153,5563231,10013815
