,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Joe Burrow,Bengals,2023,5,,275000000,55000000,219010000,,24.5%,,341548043,68309609,272008861
1,Aaron Rodgers,GB/NYJ,2022,5,,150815000,50271667,150665000,,24.1%,,202245668,67415223,202044515
2,Josh Allen,Bills,2021,6,,258000000,43000000,150000000,,23.6%,,394704658,65784110,229479452
3,Russell Wilson,Broncos,2022,5,,245000000,49000000,165000000,,23.5%,,328549472,65709894,221268012
4,Dak Prescott,Cowboys,2024,4,,240000000,60000000,231000000,,23.5%,,262364918,65591229,252526233
5,Justin Herbert,Chargers,2023,5,,262500000,52500000,193738375,,23.4%,,326023132,65204626,240621683
6,Lamar Jackson,Ravens,2023,5,,260000000,52000000,185000000,,23.1%,,322918149,64583630,229768683
7,Patrick Mahomes,Chiefs,2020,10,,450000000,45000000,141000000,,22.7%,,633905146,63390515,198623613
8,Jalen Hurts,Eagles,2023,5,,255000000,51000000,179304000,,22.7%,,316708185,63341637,222694292
9,Kyler Murray,Cardinals,2022,5,,230500000,46100000,160000000,,22.1%,,309104707,61820941,214562920
10,Deshaun Watson,Browns,2022,5,,230000000,46000000,230000000,,22.1%,,308434198,61686840,308434198
11,Dak Prescott,Cowboys,2021,4,,160000000,40000000,126000000,,21.9%,,244778082,61194521,192762740
12,Trevor Lawrence,Jaguars,2024,5,,275000000,55000000,200000000,,21.5%,,300626468,60125294,218637431
13,Jordan Love,Packers,2024,4,,220000000,55000000,160300000,,21.5%,,240501175,60125294,175237901
14,Tua Tagovailoa,Dolphins,2024,4,,212400000,53100000,167171000,,20.8%,,232192952,58048238,182749190
15,Jared Goff,Lions,2024,4,,212000000,53000000,170611832,,20.8%,,231755677,57938919,186510664
16,Josh Allen,Bills,2025,6,,330000000,55000000,250000000,,19.7%,,330000000,55000000,250000000
17,Deshaun Watson,Texans,2020,4,,156000000,39000000,111894247,,19.7%,,219753784,54938446,157622976
18,Derek Carr,Raiders,2022,3,,121422481,40474160,65300000,,19.4%,,162829763,54276587,87568492
19,Matt Stafford,Rams,2022,4,,160000000,40000000,135000000,,19.2%,,214562920,53640730,181037464
20,Brett Favre,Packers,1997,5,,39350000,7870000,12000000,,19.0%,,265029189,53005838,80822116
21,Carson Palmer,Bengals,2005,6,,97000000,16166667,24000000,,18.9%,,316753216,52792204,78371930
22,Aaron Rodgers,Packers,2018,4,,134000000,33500000,98200000,,18.9%,,211133183,52783296,154725959
23,Troy Aikman,Cowboys,1999,6,,64500000,10750000,13000000,,18.8%,,314348555,52391426,63357073
24,Russell Wilson,SEA/DEN,2019,4,,140000000,35000000,107000000,,18.6%,,207693943,51923486,158737513
25,Mark Brunell,Jaguars,1997,4,,30500000,7625000,10000000,,18.4%,,205422878,51355720,67351763
26,Drew Bledsoe,Patriots,1995,6,,40462500,6743750,12900000,,18.2%,,304504852,50750809,97080323
27,Steve Young,49ers,1997,6,,45000000,7500000,0,,18.1%,,303082935,50513823,0
28,Ben Roethlisberger,Steelers,2019,2,,68000000,34000000,50000000,,18.1%,,100879915,50439957,74176408
29,Aaron Rodgers,Packers,2013,5,,110000000,22000000,54000000,,17.9%,,249691057,49938211,122575610
30,Jared Goff,LAR/DET,2019,4,,134000000,33500000,110042682,,17.8%,,198792774,49698193,163251418
31,Daniel Jones,Giants,2023,4,,160000000,40000000,104000000,,17.8%,,198718861,49679715,129167260
32,Kirk Cousins,Falcons,2024,4,,180000000,45000000,100000000,,17.6%,,196773688,49193422,109318716
33,Peyton Manning,Colts,2004,7,,98000000,14000000,34500000,,17.4%,,339549775,48507111,119535380
34,Brett Favre,NYJ/GB,2001,7,,80600000,11514286,11000000,,17.1%,,333855352,47693623,45563386
35,Carson Wentz,WAS/PHI/IND,2019,4,,128000000,32000000,107870683,,17.0%,,189891605,47472901,160029196
36,Matt Ryan,ATL/IND,2018,5,,150000000,30000000,100000000,,16.9%,,236343115,47268623,157562077
37,Matt Ryan,Falcons,2013,5,,103750000,20750000,59000000,,16.9%,,235504065,47100813,133925203
38,Kirk Cousins,Vikings,2022,1,,35000000,35000000,70000000,,16.8%,,46935639,46935639,93871278
39,Derek Carr,Saints,2023,4,,150000000,37500000,100000000,,16.7%,,186298932,46574733,124199288
40,Aaron Rodgers,Jets,2023,3,,112500000,37500000,75000000,,16.7%,,139724199,46574733,93149466
41,Kirk Cousins,Vikings,2020,2,,66000000,33000000,96000000,,16.6%,,92972755,46486377,135233098
42,Drew Brees,Saints,2012,5,,100000000,20000000,60500000,,16.6%,,231509121,46301824,140063018
43,Joe Flacco,Ravens,2013,6,,120600000,20100000,51000000,,16.3%,,273752195,45625366,115765854
44,Matt Stafford,DET/LAR,2017,5,,135000000,27000000,92000000,,16.2%,,225700599,45140120,153810778
45,Michael Vick,Falcons,2004,7,,91000000,13000000,37000000,,16.1%,,315296220,45042317,128197364
46,Peyton Manning,Broncos,2012,5,,96000000,19200000,58000000,,15.9%,,222248756,44449751,134275290
47,Dak Prescott,Cowboys,2020,1,,31409000,31409000,31409000,,15.8%,,44245171,44245171,44245171
48,Andrew Luck,Colts,2016,5,,122970000,24594000,87000000,,15.8%,,221119495,44223899,156439750
49,Kirk Cousins,Vikings,2018,3,,84000000,28000000,84000000,,15.8%,,132352144,44117381,132352144
50,Dan Marino,Dolphins,1996,2,,12850000,6425000,5800000,,15.8%,,88035727,44017864,39735970
51,Drew Bledsoe,NE/BUF,2001,9,,95400000,10600000,14000000,,15.7%,,395158816,43906535,57989763
52,Steve Young,49ers,1998,6,,49175000,8195833,7500000,,15.6%,,262076430,43679403,39970986
53,Drew Brees,Saints,2016,1,,24250000,24250000,24250000,,15.6%,,43605333,43605333,43605333
