,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Brandon Scherff,Commanders,2021,1,,18036000,18036000,18036000,,9.9%,,27592609,27592609,27592609
1,Chris Lindstrom,Falcons,2023,5,,102500000,20500000,62702000,,9.1%,,127304270,25460854,77875438
2,Trey Smith,Chiefs,2025,1,,23402000,23402000,23402000,,8.4%,,23402000,23402000,23402000
3,Zack Martin,Cowboys,2023,2,,36850000,18425000,36850000,,8.2%,,45767438,22883719,45767438
4,Brandon Scherff,Jaguars,2022,3,,49500000,16500000,30000000,,7.9%,,66380403,22126801,40230548
5,Zack Martin,Cowboys,2018,6,,84000000,14000000,40000000,,7.9%,,132352144,22058691,63024831
6,Robert Hunt,Panthers,2024,5,,100000000,20000000,63000000,,7.8%,,109318716,21863743,68870791
7,Wyatt Teller,Browns,2021,4,,56800000,14200000,29091500,,7.8%,,86896219,21724055,44506010
8,Brandon Scherff,Commanders,2020,1,,15030000,15030000,15030000,,7.6%,,21172432,21172432,21172432
9,Brandon Brooks,Eagles,2019,4,,56200000,14050000,32711177,,7.5%,,83374283,20843571,48527952
10,Samuel Cosmi,Commanders,2024,4,,74000000,18500000,45116000,,7.2%,,80895850,20223962,49320232
11,Kevin Zeitler,NYG/CLE,2017,5,,60000000,12000000,31500000,,7.2%,,100311377,20062275,52663473
12,Quinn Meinerz,Broncos,2024,4,,72000000,18000000,45000000,,7.0%,,78709475,19677369,49193422
13,Trai Turner,LAC/CAR,2017,4,,45000000,11250000,20500000,,6.7%,,75233533,18808383,34273054
14,Gabe Jackson,Raiders,2017,5,,55000000,11000000,25750000,,6.6%,,91952096,18390419,43050299
15,David DeCastro,Steelers,2016,5,,50000000,10000000,16000000,,6.4%,,89907902,17981580,28770529
16,Kyle Long,Bears,2016,4,,40000000,10000000,30000000,,6.4%,,71926322,17981580,53944741
17,Will Fries,Vikings,2025,5,,87720000,17544000,44000000,,6.3%,,87720000,17544000,44000000
18,Jahri Evans,Saints,2010,7,,56700000,8100000,19000000,,6.3%,,122718140,17531163,41122481
19,Kevin Dotson,Rams,2024,3,,48000000,16000000,32000000,,6.3%,,52472984,17490995,34981989
20,Davin Joseph,Buccaneers,2011,7,,52500000,7500000,19000000,,6.2%,,121769470,17395639,44068951
21,Chris Snee,Giants,2008,6,,41250000,6875000,17000000,,5.9%,,99284483,16547414,40917241
22,T.J. Lang,Lions,2017,3,,28500000,9500000,19000000,,5.7%,,47647904,15882635,31765269
23,Marshal Yanda,Ravens,2015,4,,31917647,7979412,17800000,,5.6%,,62195750,15548938,34685650
24,Graham Glasgow,Broncos,2020,4,,44000000,11000000,26000000,,5.5%,,61981837,15495459,36625631
25,Ronald Leary,Broncos,2017,4,,36000000,9000000,24000000,,5.4%,,60186826,15046707,40124551
26,Jahri Evans,Saints,2015,3,,23000000,7666667,1000000,,5.4%,,44818537,14939513,1948632
27,Marshal Yanda,Ravens,2011,5,,32000000,6400000,10000000,,5.3%,,74221391,14844278,23194185
28,Marshal Yanda,Ravens,2019,1,,10000000,10000000,10000000,,5.3%,,14835282,14835282,14835282
29,Shaquille Mason,Texans,2023,3,,35000000,11666667,22000000,,5.2%,,43469751,14489917,27323843
30,Brandon Brooks,Eagles,2016,5,,40000000,8000000,21000000,,5.2%,,71926322,14385264,37761319
31,Shawn Andrews,Eagles,2006,7,,36400000,5200000,5000000,,5.1%,,99636078,14233725,13686275
32,Larry Warford,Saints,2017,4,,34000000,8500000,17000000,,5.1%,,56843114,14210778,28421557
33,Shaquille Mason,NE/HOU/TB,2018,5,,45000000,9000000,23500000,,5.1%,,70902935,14180587,37027088
34,Laurent Duvernay-Tardif,Chiefs,2017,5,,41264500,8252900,20000000,,4.9%,,68988314,13797663,33437126
35,Cesar Ruiz,Saints,2023,4,,44000000,11000000,30000000,,4.9%,,54647687,13661922,37259786
36,Louis Vasquez,Broncos,2013,4,,23500000,5875000,13000000,,4.8%,,53343089,13335772,29508943
37,Halapoulivaati Vaitai,Lions,2020,5,,45000000,9000000,20000000,,4.5%,,63390515,12678103,28173562
38,Jeff Allen,Texans,2016,4,,28000000,7000000,12000000,,4.5%,,50348425,12587106,21577897
39,Patrick Mekari,Jaguars,2025,3,,37500000,12500000,22500000,,4.5%,,37500000,12500000,22500000
40,Nate Davis,Bears,2023,4,,30000000,10000000,19250000,,4.4%,,37259786,12419929,23908363
41,Shawn Andrews,Giants,2010,6,,34000000,5666667,250000,,4.4%,,73587597,12264600,541085
42,Brian Winters,Jets,2017,4,,29000000,7250000,15000000,,4.3%,,48483832,12120958,25077844
43,T.J. Lang,Packers,2012,4,,20800000,5200000,5500000,,4.3%,,48153897,12038474,12733002
44,James Daniels,Steelers,2022,3,,26500000,8833333,8750000,,4.2%,,35536984,11845661,11733910
45,Austin Corbett,Panthers,2022,3,,26250000,8750000,19600000,,4.2%,,35201729,11733910,26283958
46,Alex Cappa,Bengals,2022,4,,35000000,8750000,11000000,,4.2%,,46935639,11733910,14751201
47,J.R. Sweezy,Buccaneers,2016,5,,32500000,6500000,14500000,,4.2%,,58440137,11688027,26073292
48,Gabe Jackson,Seahawks,2021,3,,22575000,7525000,16075000,,4.1%,,34536658,11512219,24592548
49,Kevin Zeitler,Ravens,2021,3,,22500000,7500000,16000000,,4.1%,,34421918,11473973,24477808
50,Brandon Scherff,Jaguars,2024,2,,10000000,10000000,9750000,,3.9%,,10931872,10931872,10658575
51,Uche Nwaneri,Jaguars,2010,5,,24000000,4800000,8600000,,3.7%,,51944186,10388837,18613333
52,Brandon Scherff,Commanders,2015,4,,21215638,5303910,21215638,,3.7%,,41341472,10335369,41341472
53,Josh Kline,Titans,2018,4,,26000000,6500000,12000000,,3.7%,,40966140,10241535,18907449
54,Menelik Watson,Broncos,2017,3,,18375000,6125000,11000000,,3.7%,,30720359,10240120,18390419
55,Brandon Fusco,Vikings,2014,5,,24250000,4850000,6000000,,3.6%,,50906767,10181353,12595489
56,Mike Remmers,Vikings,2017,5,,30000000,6000000,10500000,,3.6%,,50155689,10031138,17554491
57,Graham Glasgow,Broncos,2022,2,,14100000,7050000,3100000,,3.4%,,18908357,9454179,4157157
58,Jon Asamoah,Falcons,2014,5,,22500000,4500000,8000000,,3.4%,,47233083,9446617,16793985
59,Chris Chester,Commanders,2011,4,,20000000,4000000,4000000,,3.3%,,46388370,9277674,9277674
60,Harvey Dahl,Rams,2011,4,,16000000,4000000,5000000,,3.3%,,37110696,9277674,11597092
61,Mike Brisiel,Raiders,2012,5,,20000000,4000000,7850000,,3.3%,,46301824,9260365,18173466
62,Kyle Long,Bears,2019,2,,12200000,6100000,4000000,,3.2%,,18099044,9049522,5934113
63,Jamon Brown,Falcons,2019,3,,18250000,6083333,12750000,,3.2%,,27074389,9024796,18914984
64,Kevin Zeitler,Titans,2025,1,,9000000,9000000,8745000,,3.2%,,9000000,9000000,8745000
65,Geoff Schwartz,Giants,2014,4,,16800000,4200000,5700000,,3.2%,,35267368,8816842,11965714
66,Jonathan Cooper,Browns,2013,4,,14549000,3637250,14549000,,3.0%,,33025047,8256262,33025047
67,Mark Glowinski,Giants,2022,3,,18300000,6100000,11400000,,2.9%,,24540634,8180211,15287608
68,John Miller,Bengals,2019,3,,16500000,5500000,7500000,,2.9%,,24478215,8159405,11126461
69,Mark Glowinski,Colts,2019,3,,16200000,5400000,4200000,,2.9%,,24033156,8011052,6230818
70,James Daniels,Dolphins,2025,3,,24000000,8000000,10735000,,2.9%,,24000000,8000000,10735000
71,Patrick Omameh,Giants,2018,3,,15000000,5000000,5500000,,2.8%,,23634312,7878104,8665914
72,Jonathan Cooper,49ers,2018,1,,4950000,4950000,2000000,,2.8%,,7799323,7799323,3151242
73,Josh Kline,Vikings,2019,3,,15500000,5166667,7250000,,2.7%,,22994687,7664896,10755579
74,Harvey Dahl,Rams,2013,2,,6750000,3375000,2750000,,2.7%,,15321951,7660976,6242276
75,Geoff Schwartz,Giants,2015,3,,11575000,3858333,1475000,,2.7%,,22555416,7518471,2874232
76,A.J. Cann,Jaguars,2019,3,,15055000,5018333,6005000,,2.7%,,22334516,7444838,8908587
77,Graham Glasgow,Lions,2024,3,,20000000,6666667,9500000,,2.6%,,21863743,7287915,10385278
78,Kevin Zeitler,Bengals,2012,5,,15614200,3122840,14195446,,2.6%,,36148297,7229659,32863752
79,Evan Mathis,Cardinals,2016,1,,4000069,4000069,3000069,,2.6%,,7192756,7192756,5394598
80,Chance Warmack,Titans,2013,4,,12166646,3041662,12166646,,2.5%,,27617297,6904325,27617297
81,Stephen Peterman,Lions,2009,5,,15000000,3000000,5400000,,2.4%,,34048780,6809756,12257561
82,Brandon Fusco,Falcons,2018,3,,12750000,4250000,5500000,,2.4%,,20089165,6696388,8665914
83,J.R. Sweezy,Cardinals,2019,2,,9000000,4500000,3000000,,2.4%,,13351753,6675877,4450584
84,Kevin Zeitler,Lions,2024,1,,6000000,6000000,5490000,,2.3%,,6559123,6559123,6001597
85,Shawn Andrews,Eagles,2004,5,,9260750,1852150,1000000,,2.3%,,32086588,6417318,3464794
86,Denzelle Good,Raiders,2021,2,,8360000,4180000,3190000,,2.3%,,12789655,6394827,4880263
87,Mackenzy Bernadeau,Cowboys,2012,4,,11000000,2750000,4750000,,2.3%,,25466003,6366501,10996683
88,Wes Schweitzer,Commanders,2020,3,,13500000,4500000,4000000,,2.3%,,19017154,6339051,5634712
89,Jahri Evans,Saints,2009,1,,2792000,2792000,0,,2.3%,,6337613,6337613,0
90,Senio Kelemete,Texans,2018,3,,12000000,4000000,5000000,,2.3%,,18907449,6302483,7878104
91,Alijah Vera-Tucker,Jets,2021,4,,15885034,3971259,15885034,,2.2%,,24301926,6075482,24301926
92,Rex Hadnot,Browns,2008,2,,5000000,2500000,2500000,,2.2%,,12034483,6017241,6017241
93,Coleman Shelton,Rams,2025,2,,12000000,6000000,9000000,,2.1%,,12000000,6000000,9000000
94,A.J. Cann,Texans,2022,2,,8500000,4250000,4500000,,2.0%,,11398655,5699328,6034582
95,John Miller,Panthers,2020,1,,4000000,4000000,2000000,,2.0%,,5634712,5634712,2817356
96,Zach Fulton,Texans,2020,2,,8000000,4000000,6000000,,2.0%,,11269425,5634712,8452069
97,Will Hernandez,Cardinals,2023,2,,9000000,4500000,4500000,,2.0%,,11177936,5588968,5588968
98,John Jerry,Giants,2017,3,,10000000,3333333,4250000,,2.0%,,16718563,5572854,7105389
99,Alex Cappa,Raiders,2025,2,,11020000,5510000,5500000,,2.0%,,11020000,5510000,5500000
100,Alex Leatherwood,CHI/LV,2021,4,,14391564,3597891,14391564,,2.0%,,22017121,5504280,22017121
101,Chris Chester,Falcons,2015,1,,2800000,2800000,550000,,2.0%,,5456170,5456170,1071748
102,Chris Lindstrom,Falcons,2019,4,,14708756,3677189,14708756,,2.0%,,21820854,5455213,21820854
103,Jon Feliciano,Bills,2019,2,,7250000,3625000,3900000,,1.9%,,10755579,5377790,5785760
104,Chris Snee,Giants,2014,1,,2550000,2550000,1000000,,1.9%,,5353083,5353083,2099248
105,J'Marcus Webb,Seahawks,2016,2,,5750000,2875000,2450000,,1.9%,,10339409,5169704,4405487
106,D.J. Fluker,Giants,2017,1,,3000000,3000000,900000,,1.8%,,5015569,5015569,1504671
107,Jermon Bushrod,Dolphins,2017,1,,3000000,3000000,2250000,,1.8%,,5015569,5015569,3761677
108,Nate Herbig,Steelers,2023,2,,8000000,4000000,2920000,,1.8%,,9935943,4967972,3626619
109,Laurent Duvernay-Tardif,KC/NYJ,2020,1,,3500000,3500000,3500000,,1.8%,,4930373,4930373,4930373
110,Greg Van Roten,Jets,2020,3,,10500000,3500000,3250000,,1.8%,,14791120,4930373,4578204
111,Kyle Long,Bears,2013,4,,8300952,2075238,17121952,,1.7%,,18842486,4710622,38865439
112,Zack Martin,Cowboys,2014,4,,8967798,2241950,8967798,,1.7%,,18825633,4706409,18825633
113,Danny Watkins,Eagles,2011,4,,7934825,1983706,6477650,,1.6%,,18404180,4601044,15024381
114,Trai Turner,Steelers,2021,1,,3000000,3000000,1925000,,1.6%,,4589589,4589589,2944986
115,David DeCastro,Steelers,2012,5,,7813998,1953475,6358367,,1.6%,,18090118,4522473,14720200
116,Davin Joseph,Buccaneers,2006,5,,8250000,1650000,5825000,,1.6%,,22582353,4516471,15944510
117,Cesar Ruiz,Saints,2020,4,,12679198,3169800,12679198,,1.6%,,17860909,4465228,17860909
118,D.J. Fluker,Seahawks,2019,2,,6000000,3000000,1000000,,1.6%,,8901169,4450584,1483528
119,Joe Berger,Vikings,2016,1,,2465000,2465000,915000,,1.6%,,4432460,4432460,1645315
120,Todd Herremans,Colts,2015,1,,2250000,2250000,1000000,,1.6%,,4384422,4384422,1948632
121,Halapoulivaati Vaitai,Lions,2023,1,,3500000,3500000,3000000,,1.6%,,4346975,4346975,3725979
122,Brian Winters,Bills,2020,1,,3000000,3000000,3000000,,1.5%,,4226034,4226034,4226034
123,Jason Peters,Eagles,2020,1,,3000000,3000000,3000000,,1.5%,,4226034,4226034,4226034
124,Xavier Su'a-Filo,Bengals,2020,3,,9000000,3000000,1000000,,1.5%,,12678103,4226034,1408678
125,Chris Chester,Falcons,2016,1,,2350000,2350000,250000,,1.5%,,4225671,4225671,449540
126,Willie Colon,Jets,2014,1,,2000000,2000000,500000,,1.5%,,4198496,4198496,1049624
127,Joshua Garnett,49ers,2016,4,,9304310,2326078,7585541,,1.5%,,16730620,4182656,13640002
128,Earl Watford,Jaguars,2017,2,,5000000,2500000,1000000,,1.5%,,8359281,4179641,1671856
129,Trai Turner,Commanders,2022,1,,3000000,3000000,1455000,,1.4%,,4023055,4023055,1951182
130,Josh Jones,Seahawks,2025,1,,4000000,4000000,3000000,,1.4%,,4000000,4000000,3000000
131,Paul Fanaika,Chiefs,2015,3,,6150000,2050000,1750000,,1.4%,,11984087,3994696,3410106
132,Michael Schofield,Chargers,2018,2,,5000000,2500000,2500000,,1.4%,,7878104,3939052,3939052
133,Kenny Wiggins,Lions,2018,2,,5000000,2500000,750000,,1.4%,,7878104,3939052,1181716
