,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Jamal Adams,Seahawks,2021,4,,70000000,17500000,38000000,,9.6%,,107090411,26772603,58134795
1,Derwin James,Chargers,2022,4,,76000000,19000000,42000000,,9.1%,,101917387,25479347,56322767
2,Harrison Smith,Vikings,2021,4,,64000000,16000000,26379412,,8.8%,,97911233,24477808,40356887
3,Minkah Fitzpatrick,Steelers,2022,4,,72988000,18247000,36000000,,8.8%,,97878240,24469560,48276657
4,Justin Simmons,Broncos,2021,4,,61000000,15250000,35000000,,8.4%,,93321644,23330411,53545205
5,"Antoine Winfield, Jr.",Buccaneers,2024,4,,84100000,21025000,45000000,,8.2%,,91937040,22984260,49193422
6,Troy Polamalu,Steelers,2011,3,,29600000,9866667,10550000,,8.2%,,68654787,22884930,24469865
7,Tyrann Mathieu,Cardinals,2016,5,,62500407,12500081,35000000,,8.1%,,112385610,22477121,62935532
8,Eric Berry,Chiefs,2017,6,,78000000,13000000,40000000,,7.8%,,130404790,21734132,66874251
9,John Lynch,Buccaneers,2000,5,,24100000,4820000,5600000,,7.8%,,108227498,21645500,25148298
10,Earl Thomas,Seahawks,2014,4,,40000000,10000000,25725000,,7.5%,,83969925,20992481,54003158
11,Kevin Byard,Titans,2019,5,,70500000,14100000,30825000,,7.5%,,104588735,20917747,45729756
12,Budda Baker,Cardinals,2020,4,,59000000,14750000,33100000,,7.4%,,83112008,20778002,46627245
13,Tyrann Mathieu,Chiefs,2019,3,,42000000,14000000,26800000,,7.4%,,62308183,20769394,39758555
14,Landon Collins,Commanders,2019,6,,84000000,14000000,44500000,,7.4%,,124616366,20769394,66017003
15,Eddie Jackson,Bears,2020,4,,58400000,14600000,33000000,,7.4%,,82266801,20566700,46486377
16,Earl Thomas,Ravens,2019,4,,55000000,13750000,32000000,,7.3%,,81594049,20398512,47472901
17,Reshad Jones,Dolphins,2017,4,,48000000,12000000,33000000,,7.2%,,80249102,20062275,55171257
18,Kam Chancellor,Seahawks,2017,3,,36000000,12000000,25000000,,7.2%,,60186826,20062275,41796407
19,Jessie Bates III,Falcons,2023,4,,64020000,16005000,36000000,,7.1%,,79512384,19878096,44711744
20,Budda Baker,Cardinals,2024,3,,54000000,18000000,29366667,,7.0%,,59032106,19677369,32103263
21,Eric Berry,Chiefs,2016,1,,10806000,10806000,10806000,,7.0%,,19430896,19430896,19430896
22,Troy Polamalu,Steelers,2007,4,,30190000,7547500,10975000,,6.9%,,77330716,19332679,28112110
23,Steve Atwater,Broncos,1995,5,,12500000,2500000,3300000,,6.7%,,94070081,18814016,24834501
24,Marcus Williams,Ravens,2022,5,,70000000,14000000,37000000,,6.7%,,93871278,18774256,49617675
25,Dashon Goldson,TB/WAS,2013,5,,41000000,8250000,22000000,,6.7%,,93066667,18726829,49938211
26,"Antoine Winfield, Jr.",Buccaneers,2024,1,,17123000,17123000,0,,6.7%,,18718644,18718644,0
27,Eric Weddle,Chargers,2011,5,,40000000,8000000,19000000,,6.6%,,92776739,18555348,44068951
28,Devin McCourty,Patriots,2015,5,,47500000,9500000,28500000,,6.6%,,92560022,18512004,55536013
29,Harrison Smith,Vikings,2016,5,,51250000,10250000,28578000,,6.6%,,92155600,18431120,51387761
30,Jairus Byrd,Saints,2014,6,,52500000,8750000,26300000,,6.6%,,110210526,18368421,55210226
31,Xavier McKinney,Packers,2024,4,,67000000,16750000,23000000,,6.6%,,73243540,18310885,25143305
32,Eric Berry,Chiefs,2010,6,,50000000,8333333,34000000,,6.5%,,108217054,18036175,73587597
33,Lamarcus Joyner,Rams,2018,1,,11287000,11287000,11287000,,6.4%,,17784032,17784032,17784032
34,Budda Baker,Cardinals,2023,2,,28200000,14100000,13400000,,6.3%,,35024199,17512100,16642705
35,Quandre Diggs,Seahawks,2022,3,,39000000,13000000,26980000,,6.2%,,52299712,17433237,36180672
36,Ed Reed,Ravens,2006,6,,38102000,6350333,13000000,,6.2%,,104294886,17382480,35584314
37,Jessie Bates III,Bengals,2022,1,,12911000,12911000,12911000,,6.2%,,17313887,17313887,17313887
38,John Johnson,Browns,2021,3,,33750000,11250000,24000000,,6.2%,,51632877,17210959,36716712
39,Trevon Moehrig,Panthers,2025,3,,51000000,17000000,34500000,,6.1%,,51000000,17000000,34500000
40,Kareem Jackson,Broncos,2019,3,,33000000,11000000,23000000,,5.8%,,48956429,16318810,34121148
41,Marcus Maye,Jets,2021,1,,10612000,10612000,10612000,,5.8%,,16234906,16234906,16234906
42,Marcus Williams,Saints,2021,1,,10612000,10612000,10612000,,5.8%,,16234906,16234906,16234906
43,Michael Griffin,Titans,2012,5,,35000000,7000000,15000000,,5.8%,,81028192,16205638,34726368
44,Devin McCourty,Patriots,2020,2,,23000000,11500000,17000000,,5.8%,,32399596,16199798,23947528
45,Anthony Harris,Vikings,2020,1,,11441000,11441000,11441000,,5.8%,,16116686,16116686,16116686
46,Justin Simmons,Broncos,2020,1,,11441000,11441000,11441000,,5.8%,,16116686,16116686,16116686
47,Jalen Thompson,Cardinals,2022,3,,36000000,12000000,24500000,,5.8%,,48276657,16092219,32854947
48,Antrel Rolle,Giants,2010,5,,37000000,7400000,15000000,,5.7%,,80080620,16016124,32465116
49,Reshad Jones,Dolphins,2013,4,,28012000,7003000,15000000,,5.7%,,63584963,15896241,34048780
50,Kam Chancellor,Seahawks,2013,4,,28002008,7000502,17000000,,5.7%,,63562282,15890570,38588618
51,Kyle Dugger,Patriots,2024,4,,58000000,14500000,32500000,,5.7%,,63404855,15851214,35528583
52,Malcolm Jenkins,Eagles,2016,4,,35000000,8750000,21000000,,5.6%,,62935532,15733883,37761319
53,Jairus Byrd,Bills,2013,1,,6916000,6916000,6916000,,5.6%,,15698758,15698758,15698758
54,Kevin Byard,PHI/TEN,2023,2,,25100000,12550000,7000000,,5.6%,,31174021,15587011,8693950
55,Lamarcus Joyner,Raiders,2019,4,,42000000,10500000,21300000,,5.6%,,62308183,15577046,31599150
56,Tyvon Branch,Raiders,2012,4,,26600000,6650000,17600000,,5.5%,,61581426,15395357,40745605
57,Kyle Dugger,Patriots,2024,1,,13815000,13815000,13815000,,5.4%,,15102381,15102381,15102381
58,Jevon Holland,Giants,2025,3,,45300000,15100000,30300000,,5.4%,,45300000,15100000,30300000
59,Cam Bynum,Colts,2025,4,,60000000,15000000,32000000,,5.4%,,60000000,15000000,32000000
60,Grant Delpit,Browns,2023,3,,36000000,12000000,23596770,,5.3%,,44711744,14903915,29307020
61,Micah Hyde,Bills,2021,2,,19250000,9625000,13300000,,5.3%,,29449863,14724932,20347178
62,Donte Whitner,Browns,2014,4,,28000000,7000000,13000000,,5.3%,,58778947,14694737,27290226
63,Roman Harper,Saints,2011,4,,25000000,6250000,16000000,,5.2%,,57985462,14496366,37110696
64,John Lynch,Buccaneers,1997,3,,6440500,2146833,1500000,,5.2%,,43377903,14459299,10102765
65,Dashon Goldson,49ers,2012,1,,6212000,6212000,0,,5.2%,,14381347,14381347,0
66,Tony Jefferson,Ravens,2017,4,,34000000,8500000,19000000,,5.1%,,56843114,14210778,31765269
67,Logan Ryan,Giants,2020,3,,30000000,10000000,20000000,,5.0%,,42260343,14086781,28173562
68,Justin Reid,Chiefs,2022,3,,31500000,10500000,20485000,,5.0%,,42242075,14080692,27470759
69,Antoine Bethea,Colts,2010,4,,26000000,6500000,10650000,,5.0%,,56272868,14068217,23050233
70,Morgan Burnett,Packers,2013,4,,24750000,6187500,8250000,,5.0%,,56180488,14045122,18726829
71,Jordan Poyer,Bills,2020,2,,19500000,9750000,13300000,,4.9%,,27469223,13734612,18735419
72,Aaron Williams,Bills,2014,4,,26007844,6501961,14625000,,4.9%,,54596918,13649229,30701504
73,William Moore,Falcons,2013,5,,30000000,6000000,14000000,,4.9%,,68097561,13619512,31778862
74,LaRon Landry,Colts,2013,4,,24000000,6000000,14000000,,4.9%,,54478049,13619512,31778862
75,Brian Dawkins,Eagles,2003,4,,14500000,3625000,6000000,,4.8%,,53973629,13493407,22333916
76,Amani Hooker,Titans,2022,3,,30000000,10000000,19500000,,4.8%,,40230548,13410183,26149856
77,Steve Atwater,Jets,1999,3,,8250000,2750000,1800000,,4.8%,,40207373,13402458,8772518
78,Rayshawn Jenkins,Jaguars,2021,4,,35000000,8750000,16000000,,4.8%,,53545205,13386301,24477808
79,Jimmie Ward,49ers,2020,3,,28500000,9500000,16500000,,4.8%,,40147326,13382442,23243189
80,Adrian Amos,Packers,2019,4,,36000000,9000000,12000000,,4.8%,,53407014,13351753,17802338
81,Brian Dawkins,Eagles,1998,5,,12440000,2488000,2500000,,4.7%,,66298542,13259708,13323662
82,Talanoa Hufanga,Broncos,2025,3,,39000000,13000000,20000000,,4.7%,,39000000,13000000,20000000
83,Tashaun Gipson,Jaguars,2016,5,,36000000,7200000,12000000,,4.6%,,64733690,12946738,21577897
84,Charles Godfrey,Panthers,2011,5,,27500000,5500000,12300000,,4.6%,,63784008,12756802,28528847
85,Darian Stewart,Broncos,2016,4,,28000000,7000000,17500000,,4.5%,,50348425,12587106,31467766
86,Rodney McLeod,Eagles,2016,5,,35000000,7000000,17000000,,4.5%,,62935532,12587106,30568687
87,Troy Polamalu,Steelers,2014,2,,11750000,5875000,6750000,,4.4%,,24666165,12333083,14169925
88,Brian Dawkins,Broncos,2009,5,,27000000,5400000,5780000,,4.4%,,61287805,12257561,13120130
89,Devin McCourty,Patriots,2022,1,,9000000,9000000,8000000,,4.3%,,12069164,12069164,10728146
90,Tyrann Mathieu,Saints,2022,3,,27000000,9000000,18000000,,4.3%,,36207493,12069164,24138329
91,Julian Love,Seahawks,2024,3,,33000000,11000000,18680000,,4.3%,,36075176,12025059,20420736
92,T.J. Ward,Broncos,2014,4,,22500000,5625000,13500000,,4.2%,,47233083,11808271,28339850
93,Eric Weddle,Ravens,2016,4,,26000000,6500000,13000000,,4.2%,,46752109,11688027,23376055
94,Danieal Manning,Texans,2011,4,,20000000,5000000,9000000,,4.2%,,46388370,11597092,20874766
95,Da'Norris Searcy,Titans,2015,4,,23750000,5937500,11500000,,4.1%,,46280011,11570003,22409269
96,Sean Taylor,Commanders,2004,6,,16670000,3334000,7200000,,4.1%,,57758110,11551622,24946514
97,Ed Reed,Texans,2013,3,,15000000,5000000,5000000,,4.1%,,34048780,11349593,11349593
98,Malcolm Jenkins,Saints,2020,4,,32000000,8000000,16250000,,4.0%,,45077699,11269425,22891019
99,Nate Allen,Raiders,2015,4,,23000000,5750000,11800000,,4.0%,,44818537,11204634,22993858
100,Tracy Walker,Lions,2022,3,,25000000,8333333,16950000,,4.0%,,33525456,11175152,22730259
101,Tashaun Gipson,Texans,2019,3,,22500000,7500000,11250000,,4.0%,,33379384,11126461,16689692
102,Charles Godfrey,Panthers,2014,3,,10587500,5293750,150000,,4.0%,,22225789,11112895,314887
