assists,gamesPlayed,gamesStarted,fullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,66,66,Braden Holtby,0,141,2.20244,Holtby,9,7.0,6,8474651,1,0.92175,1661.0,20152016,L,1802.0,3,WSH,,230471,48
1,78,78,Martin Brodeur,0,171,2.18458,Brodeur,23,7.0,12,8455710,1,0.92163,2011.0,20062007,L,2182.0,12,NJD,,281793,48
3,73,73,Bernie Parent,0,136,1.8944,Parent,13,,24,8450178,3,0.9322,1870.0,19731974,L,2006.0,12,PHI,12.0,258445,47
2,76,75,Roberto Luongo,0,171,2.28494,Luongo,22,6.0,10,8466141,2,0.92116,1998.0,20062007,L,2169.0,5,VAN,,269416,47
2,77,77,Evgeni Nabokov,0,163,2.14429,Nabokov,21,8.0,12,8460705,2,0.90954,1639.0,20072008,L,1802.0,6,SJS,,273656,46
3,77,76,Martin Brodeur,0,168,2.24044,Brodeur,25,6.0,6,8455710,3,0.91616,1836.0,20092010,L,2004.0,9,NJD,,269946,45
3,76,76,Miikka Kiprusoff,0,209,2.83839,Kiprusoff,24,5.0,2,8462147,3,0.90301,1946.0,20082009,L,2155.0,4,CGY,,265079,45
1,66,66,Carey Price,0,130,1.96149,Price,16,6.0,4,8471679,1,0.93343,1823.0,20142015,L,1953.0,9,MTL,,238593,44
2,67,64,Connor Hellebuyck,0,156,2.36012,Hellebuyck,11,9.0,0,8476945,2,0.92382,1892.0,20172018,L,2048.0,6,WPG,,237954,44
0,71,71,Evgeni Nabokov,0,170,2.43196,Nabokov,16,10.0,6,8460705,0,0.92158,1998.0,20092010,L,2168.0,3,SJS,,251648,44
4,77,77,Martin Brodeur,0,168,2.17473,Brodeur,27,6.0,6,8455710,4,0.91957,1921.0,20072008,L,2089.0,4,NJD,,278103,44
2,65,64,Andrei Vasilevskiy,0,167,2.61948,Vasilevskiy,17,3.0,14,8476883,2,0.91951,1908.0,20172018,L,2075.0,8,TBL,,229511,44
0,68,68,Bernie Parent,0,137,2.03736,Parent,14,,16,8450178,0,0.91816,1537.0,19741975,L,1674.0,12,PHI,9.0,242077,44
0,70,70,Terry Sawchuk,0,138,1.97142,Sawchuk,13,,2,8450111,0,,,19501951,L,,11,DET,13.0,252000,44
0,70,70,Terry Sawchuk,0,133,1.9,Sawchuk,14,,2,8450111,0,,,19511952,L,,12,DET,12.0,252000,44
5,73,72,Pekka Rinne,0,166,2.38913,Rinne,18,8.0,0,8471469,5,0.92289,1987.0,20112012,L,2153.0,5,NSH,,250132,43
3,70,69,Martin Brodeur,0,130,1.88935,Brodeur,17,,10,8455710,3,0.91714,1439.0,19971998,L,1569.0,10,NJD,8.0,247704,43
3,73,73,Martin Brodeur,0,187,2.57069,Brodeur,23,7.0,4,8455710,3,0.91116,1918.0,20052006,L,2105.0,5,NJD,,261875,43
4,72,72,Martin Brodeur,1,161,2.24031,Brodeur,20,,16,8455710,5,0.9104,1636.0,19992000,L,1797.0,6,NJD,8.0,258714,43
3,74,70,Ed Belfour,0,170,2.47171,Belfour,19,,34,8445386,3,0.90971,1713.0,19901991,L,1883.0,4,CHI,7.0,247601,43
8,63,62,Tom Barrasso,0,186,3.01477,Barrasso,14,,24,8445275,8,0.90132,1699.0,19921993,R,1885.0,4,PIT,5.0,222106,43
0,64,64,Jacques Plante,0,119,1.85937,Plante,12,,10,8450066,0,0.93057,1595.0,19551956,L,1714.0,7,MTL,10.0,230400,42
1,59,59,Pekka Rinne,0,134,2.31336,Rinne,13,4.0,6,8471469,1,0.92717,1706.0,20172018,L,1840.0,8,NSH,,208527,42
2,62,60,Ken Dryden,0,121,2.0318,Dryden,10,,0,8446490,2,0.92666,1529.0,19751976,L,1650.0,8,MTL,8.0,214391,42
0,63,63,Braden Holtby,0,127,2.07055,Holtby,13,6.0,0,8474651,0,0.92485,1563.0,20162017,L,1690.0,9,WSH,,220810,42
0,70,70,Jacques Plante,0,166,2.37142,Plante,14,,14,8450066,0,0.92314,1994.0,19611962,L,2160.0,4,MTL,14.0,252000,42
2,74,73,Miikka Kiprusoff,0,151,2.06865,Kiprusoff,20,11.0,10,8462147,2,0.9226,1800.0,20052006,L,1951.0,10,CGY,,262780,42
1,69,69,Ilya Bryzgalov,0,156,2.29169,Bryzgalov,20,6.0,4,8468524,1,0.92044,1805.0,20092010,L,1961.0,8,PHX,,245059,42
0,73,73,Cam Talbot,0,171,2.38938,Talbot,22,8.0,4,8475660,0,0.91922,1946.0,20162017,L,2117.0,7,EDM,,257640,42
2,67,64,Marc-Andre Fleury,0,153,2.35613,Fleury,17,4.0,4,8470594,2,0.91346,1615.0,20112012,L,1768.0,3,PIT,,233773,42
1,67,66,Roman Turek,0,129,1.95431,Turek,15,,4,8458266,1,0.91224,1341.0,19992000,R,1470.0,7,STL,9.0,237628,42
0,68,67,Mike Richter,0,159,2.57109,Richter,12,,2,8450833,0,0.90955,1599.0,19931994,L,1758.0,5,NYR,6.0,222629,42
1,72,72,Martin Brodeur,0,166,2.31816,Brodeur,17,,14,8455710,1,0.90578,1596.0,20002001,L,1762.0,9,NJD,11.0,257790,42
0,63,63,Sergei Bobrovsky,0,127,2.05553,Bobrovsky,17,5.0,8,8475683,0,0.93149,1727.0,20162017,L,1854.0,7,CBJ,,222424,41
0,69,68,Ryan Miller,0,150,2.22365,Miller,18,8.0,4,8468011,0,0.9285,1948.0,20092010,L,2098.0,5,BUF,,242843,41
3,63,60,Semyon Varlamov,0,146,2.40674,Varlamov,14,6.0,2,8473575,3,0.92747,1867.0,20132014,L,2013.0,2,COL,,218386,41
2,73,72,Braden Holtby,0,157,2.21778,Holtby,20,10.0,2,8474651,2,0.92318,1887.0,20142015,L,2044.0,9,WSH,,254849,41
1,64,64,Pekka Rinne,0,140,2.18137,Rinne,17,6.0,8,8471469,1,0.92252,1667.0,20142015,L,1807.0,4,NSH,,231047,41
2,56,55,Ken Dryden,0,117,2.1438,Dryden,6,,0,8446490,2,0.91969,1340.0,19761977,L,1457.0,10,MTL,8.0,196473,41
2,73,72,Olie Kolzig,0,163,2.23755,Kolzig,20,,6,8448535,2,0.9167,1794.0,19992000,L,1957.0,5,WSH,11.0,262250,41
1,65,64,Dominik Hasek,0,140,2.1696,Hasek,15,,8,8447687,1,0.91535,1514.0,20012002,L,1654.0,5,DET,8.0,232300,41
0,73,73,Martin Brodeur,0,147,2.01629,Brodeur,23,,10,8455710,0,0.91383,1559.0,20022003,L,1706.0,9,NJD,9.0,262461,41
