assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
92,30,73,,8,70,69,Lemieux,2,54,8448782,10,161,2.3,C,31,79,19951996,8,9,0.20414,R,338,Mario Lemieux,PIT,
91,47,96,,10,60,69,Lemieux,0,38,8448782,55,160,2.66666,C,16,55,19921993,6,9,0.24125,R,286,Mario Lemieux,PIT,
87,41,95,,12,82,62,Jagr,1,96,8448208,31,149,1.81707,R,20,51,19951996,1,3,0.15384,L,403,Jaromir Jagr,PIT,
95,31,83,,7,84,53,LaFontaine,0,63,8448626,11,148,1.7619,C,20,63,19921993,2,2,0.1732,R,306,Pat LaFontaine,BUF,
97,20,78,,11,84,45,Oates,0,32,8449951,15,142,1.69047,C,24,62,19921993,1,2,0.17716,R,254,Adam Oates,BOS,
79,38,87,,6,84,58,Yzerman,0,44,8452578,33,137,1.63095,C,13,41,19921993,7,9,0.18892,R,307,Steve Yzerman,DET,
56,52,83,,7,84,76,Selanne,0,45,8457981,8,132,1.57142,R,24,49,19921993,0,0,0.19638,R,387,Teemu Selanne,WIN,
74,34,77,,10,83,58,Turgeon,2,26,8451991,-1,132,1.59036,C,24,54,19921993,0,1,0.19269,L,301,Pierre Turgeon,NYI,
87,28,74,,5,64,44,Lemieux,0,94,8448782,27,131,2.04687,C,12,47,19911992,4,10,0.1767,R,249,Mario Lemieux,PIT,
92,20,62,,0,81,38,Gretzky,0,20,8447400,-25,130,1.60493,C,14,61,19931994,4,7,0.16309,L,233,Wayne Gretzky,LAK,
51,49,78,,11,77,76,Mogilny,0,40,8449654,7,127,1.64935,R,27,48,19921993,0,1,0.21111,L,360,Alexander Mogilny,BUF,
83,33,82,0.5,7,81,44,Jagr,3,66,8448208,17,127,1.5679,R,10,44,19981999,1,1,0.12827,L,343,Jaromir Jagr,PIT,1458.1234
95,14,63,,2,83,32,Gilmour,0,100,8447206,32,127,1.53012,C,15,59,19921993,3,5,0.15165,L,211,Doug Gilmour,TOR,
62,37,76,,8,84,63,Robitaille,0,100,8450941,18,125,1.48809,L,24,45,19921993,2,4,0.23773,L,265,Luc Robitaille,LAK,
69,35,81,,4,80,54,Stevens,1,254,8451711,8,123,1.5375,L,19,42,19911992,0,0,0.16615,L,325,Kevin Stevens,PIT,
70,34,76,,6,84,53,Recchi,0,95,8450725,1,123,1.46428,R,15,42,19921993,4,5,0.19343,L,274,Mark Recchi,PHI,
