faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout
,22,84,3.81818,115,5.22727,9,,,,0.5909,26,,,13,19171918,,,Montréal Canadiens,8,0.0,13,11,0
,22,114,5.18181,102,4.63636,13,,,,0.40909,18,,,9,19171918,,,Ottawa Senators (1917),36,0.0,9,9,0
,6,35,5.83333,17,2.83333,5,,,,0.16666,2,,,1,19171918,,,Montreal Wanderers,41,0.0,1,1,0
,22,109,4.95454,108,4.90909,9,,,,0.5909,26,,,13,19171918,,,Toronto Arenas,57,0.0,13,13,0
,18,78,4.33333,88,4.88888,8,,,,0.55555,20,,,10,19181919,,,Montréal Canadiens,8,0.0,10,10,0
,18,53,2.94444,71,3.94444,6,,,,0.66666,24,,,12,19181919,,,Ottawa Senators (1917),36,0.0,12,9,0
,18,92,5.11111,64,3.55555,13,,,,0.27777,10,,,5,19181919,,,Toronto Arenas,57,0.0,5,5,0
,24,113,4.70833,129,5.375,11,,,,0.54166,26,,,13,19191920,,,Montréal Canadiens,8,0.0,13,12,0
,24,64,2.66666,121,5.04166,5,,,,0.79166,38,,,19,19191920,,,Ottawa Senators (1917),36,0.0,19,17,0
,24,177,7.375,91,3.79166,20,,,,0.16666,8,,,4,19191920,,,Quebec Bulldogs,42,0.0,4,3,0
,24,106,4.41666,119,4.95833,12,,,,0.5,24,,,12,19191920,,,Toronto St. Patricks,58,0.0,12,12,0
,24,99,4.125,112,4.66666,11,,,,0.54166,26,,,13,19201921,,,Montréal Canadiens,8,0.0,13,13,0
,24,75,3.125,97,4.04166,10,,,,0.58333,28,,,14,19201921,,,Ottawa Senators (1917),36,0.0,14,13,0
,24,132,5.5,92,3.83333,18,,,,0.25,12,,,6,19201921,,,Hamilton Tigers,37,0.0,6,4,0
,24,100,4.16666,105,4.375,9,,,,0.625,30,,,15,19201921,,,Toronto St. Patricks,58,0.0,15,13,0
,24,94,3.91666,88,3.66666,11,,,,0.52083,25,,,12,19211922,,,Montréal Canadiens,8,1.0,12,12,0
,24,84,3.5,106,4.41666,8,,,,0.625,30,,,14,19211922,,,Ottawa Senators (1917),36,2.0,14,12,0
,24,105,4.375,88,3.66666,17,,,,0.29166,14,,,7,19211922,,,Hamilton Tigers,37,0.0,7,6,0
,24,97,4.04166,98,4.08333,10,,,,0.5625,27,,,13,19211922,,,Toronto St. Patricks,58,1.0,13,13,0
,24,61,2.54166,73,3.04166,9,,,,0.58333,28,,,13,19221923,,,Montréal Canadiens,8,2.0,13,13,0
,24,54,2.25,77,3.20833,9,,,,0.60416,29,,,14,19221923,,,Ottawa Senators (1917),36,1.0,14,13,0
,24,110,4.58333,81,3.375,18,,,,0.25,12,,,6,19221923,,,Hamilton Tigers,37,0.0,6,4,0
