Rnk,Event,Total
1,UFC 92: The Ultimate 2008,8
1,UFC on FOX: Henderson vs Melendez,8
1,UFC Fight Night: Cowboy vs Miller,8
1,UFC 199: Rockhold vs. Bisping 2,8
1,UFC 218: Holloway vs. Aldo 2,8
1,UFC Fight Night: Holloway vs. Rodriguez,8
1,UFC Fight Night: Kattar vs. Emmett,8
1,UFC Fight Night: Thompson vs. Holland,8
1,UFC Fight Night: Blanchfield vs. Fiorot,8
10,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,7
10,UFC Fight Night: Florian vs Lauzon,7
10,UFC 83: Serra vs St-Pierre 2,7
10,UFC 84: Ill Will,7
10,UFC 96: Jackson vs Jardine,7
10,UFC 103: Franklin vs Belfort,7
10,UFC 105: Couture vs Vera,7
10,UFC Live: Vera vs Jones,7
10,UFC 166: Velasquez vs Dos Santos 3,7
10,UFC Fight Night: Belfort vs Henderson 2,7
10,UFC Fight Night: Brown vs Silva,7
10,UFC Fight Night: Rockhold vs Bisping,7
10,UFC 185: Pettis vs Dos Anjos,7
10,UFC Fight Night: Boetsch vs Henderson,7
10,UFC 202: Diaz vs. McGregor 2,7
10,UFC Fight Night: Rockhold vs. Branch,7
10,UFC 217: Bisping vs. St-Pierre,7
10,UFC 229: Khabib vs. McGregor,7
10,UFC Fight Night: Ngannou vs. Dos Santos,7
10,UFC 244: Masvidal vs. Diaz,7
10,UFC 245: Usman vs. Covington,7
10,UFC Fight Night: Blaydes vs. Lewis,7
10,UFC 261: Usman vs. Masvidal 2,7
10,UFC 268: Usman vs. Covington 2,7
10,UFC Fight Night: Lewis vs. Daukaus,7
10,UFC Fight Night: Santos vs. Hill,7
10,UFC 281: Adesanya vs. Pereira,7
10,UFC 283: Teixeira vs. Hill,7
10,UFC 290: Volkanovski vs. Rodriguez,7
10,UFC Fight Night: Holloway vs. The Korean Zombie,7
10,UFC 295: Prochazka vs. Pereira,7
10,UFC Fight Night: Covington vs. Buckley,7
10,UFC Fight Night: Dern vs. Ribas 2,7
