Rnk,Event,Total
1,UFC on FUEL TV: Nogueira vs. Werdum,8
2,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,6
2,UFC Fight Night: Lauzon vs Stephens,6
2,UFC on FUEL TV: Gustafsson vs Silva,6
2,UFC Fight Night: Namajunas vs. VanZant,6
2,UFC Fight Night: Dos Anjos vs. Alvarez,6
2,UFC Fight Night: Allen vs. Craig,6
2,UFC Fight Night: Tuivasa vs. Tybura,6
9,UFC 52: Couture vs Liddell 2,5
9,UFC 62: Liddell vs Sobral,5
9,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,5
9,UFC 91: Couture vs Lesnar,5
9,UFC 118: Edgar vs Penn 2,5
9,UFC on FX: Guillard vs Miller,5
9,UFC 180: Werdum vs Hunt,5
9,UFC Fight Night: Maia vs LaFlare,5
9,UFC on FOX: Machida vs Rockhold,5
9,UFC 204: Bisping vs. Henderson,5
9,UFC 224: Nunes vs. Pennington,5
9,The Ultimate Fighter: Heavy Hitters Finale,5
9,UFC Fight Night: Covington vs. Lawler,5
9,UFC Fight Night: Figueiredo vs. Benavidez 2,5
9,UFC Fight Night: Volkov vs. Aspinall,5
9,UFC Fight Night: Rodriguez vs. Lemos,5
9,UFC 285: Jones vs. Gane,5
9,UFC Fight Night: Yan vs. Dvalishvili,5
9,UFC 291: Poirier vs. Gaethje 2,5
9,UFC Fight Night: Moreno vs. Royval 2,5
