Rnk,Event,Total
1,UFC Fight Night: Condit vs Kampmann,33
2,UFC 99: The Comeback,31
3,UFC 87: Seek And Destroy,25
3,UFC Live: Hardy vs Lytle,25
5,UFC 76: Knockout,24
6,UFC 115: Liddell vs Franklin,23
7,UFC Fight Night: Marquardt vs Palhares,22
8,UFC 74: Respect,21
9,UFC Fight Night 2,20
9,UFC Fight Night 5,20
9,UFC 116: Lesnar vs Carwin,20
9,UFC 120: Bisping vs Akiyama,20
9,UFC 180: Werdum vs Hunt,20
9,UFC Fight Night: McDonald vs. Lineker,20
9,UFC Fight Night: Perez vs. Taira,20
