Rnk,Event,Total
1,UFC Fight Night: Yan vs. Dvalishvili,59
2,UFC 171: Hendricks vs Lawler,55
3,UFC 299: O'Malley vs. Vera 2,54
4,UFC 94: St-Pierre vs Penn 2,49
5,UFC Fight Night: Edgar vs Faber,47
5,UFC on FOX: VanZant vs. Waterson,47
7,UFC Fight Night: Nogueira vs Davis,46
7,UFC Fight Night: Vieira vs. Tate,46
9,UFC Fight Night: Allen vs. Curtis 2,45
10,UFC 160: Velasquez vs Silva 2,44
10,UFC on FOX: Johnson vs. Benavidez 2,44
10,UFC 280: Oliveira vs. Makhachev,44
10,UFC Fight Night: Cannonier vs. Strickland,44
